Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-09-30 07:24:56",0:00:01,0.9,0:00:00,0.0,41.7041465,-91.6099498,833,0.00,3.71,0:16:10,970,0.00,0:00:00,0,0,0,0
"2013-09-30 07:24:57",0:00:02,1.6,0:00:00,0.0,41.7040748,-91.6099717,831,0.01,3.71,0:16:10,970,11.15,0:05:23,323,0,0,0
"2013-09-30 07:25:03",0:00:08,8.1,0:00:00,0.0,41.7040915,-91.6099553,807,0.01,3.71,0:16:10,970,2.89,0:20:44,1244,0,4,0
"2013-09-30 07:25:07",0:00:12,12.1,0:00:00,0.0,41.7040437,-91.6100151,798,0.01,3.71,0:16:10,970,3.27,0:18:19,1099,0,36,0
"2013-09-30 07:25:10",0:00:15,15.1,0:00:00,0.0,41.7040540,-91.6101585,798,0.02,4.72,0:12:42,762,4.41,0:13:36,816,0,36,0
"2013-09-30 07:25:13",0:00:18,18.1,0:00:00,0.0,41.7041441,-91.6102260,799,0.03,6.84,0:08:46,526,5.10,0:11:46,706,0,36,1
"2013-09-30 07:25:16",0:00:21,21.1,0:00:00,0.0,41.7042683,-91.6102117,800,0.03,8.64,0:06:57,417,5.85,0:10:16,616,0,36,1
"2013-09-30 07:25:17",0:00:22,22.1,0:00:00,0.0,41.7043508,-91.6101652,801,0.04,10.71,0:05:36,336,6.57,0:09:08,548,0,36,1
"2013-09-30 07:25:21",0:00:26,26.1,0:00:00,0.0,41.7045348,-91.6101555,794,0.05,11.70,0:05:08,308,7.32,0:08:12,492,0,36,1
"2013-09-30 07:25:22",0:00:27,27.1,0:00:00,0.0,41.7045892,-91.6101879,792,0.06,12.30,0:04:53,293,7.60,0:07:54,474,0,36,2
"2013-09-30 07:25:29",0:00:34,34.3,0:00:00,0.0,41.7049342,-91.6101419,818,0.08,12.00,0:05:00,300,8.50,0:07:03,423,0,36,4
"2013-09-30 07:25:35",0:00:40,40.1,0:00:00,0.0,41.7052371,-91.6101790,823,0.10,12.64,0:04:45,285,9.17,0:06:33,393,0,36,6
"2013-09-30 07:25:44",0:00:49,49.2,0:00:00,0.0,41.7057265,-91.6101013,825,0.14,13.30,0:04:31,271,9.95,0:06:02,362,0,36,8
