Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-09-26 07:10:52",0:00:00,0.4,0:00:00,0.0,41.7040283,-91.6099613,866,0.00,2.36,0:25:23,1523,0.00,0:00:00,0,0,0,0
"2013-09-26 07:10:56",0:00:00,0.4,0:00:04,3.7,41.7040351,-91.6099792,866,0.00,2.36,0:25:23,1523,10.65,0:05:38,338,0,36,0
"2013-09-26 07:11:15",0:00:00,0.4,0:00:23,22.7,41.7040113,-91.6101145,866,0.01,2.36,0:25:23,1523,84.20,0:00:43,43,0,36,0
"2013-09-26 07:11:21",0:00:00,0.4,0:00:29,28.7,41.7041966,-91.6102409,866,0.02,7.13,0:08:25,505,231.19,0:00:16,16,0,36,0
"2013-09-26 07:11:34",0:00:11,11.5,0:00:31,30.7,41.7046542,-91.6101182,819,0.05,8.83,0:06:48,408,17.17,0:03:30,210,0,36,0
"2013-09-26 07:11:44",0:00:22,21.6,0:00:31,30.7,41.7050511,-91.6099980,812,0.08,10.16,0:05:54,354,13.84,0:04:20,260,0,36,1
"2013-09-26 07:11:48",0:00:25,25.4,0:00:31,30.7,41.7052363,-91.6100397,815,0.10,10.96,0:05:29,329,13.60,0:04:25,265,0,36,2
"2013-09-26 07:11:49",0:00:26,26.4,0:00:31,30.7,41.7053057,-91.6100928,816,0.10,11.87,0:05:03,303,13.80,0:04:21,261,0,36,2
"2013-09-26 07:11:50",0:00:27,27.4,0:00:31,30.7,41.7053289,-91.6100381,816,0.10,12.16,0:04:56,296,13.75,0:04:22,262,0,36,2
"2013-09-26 07:11:56",0:00:33,33.3,0:00:31,30.7,41.7056311,-91.6100396,820,0.13,13.00,0:04:37,277,13.55,0:04:26,266,0,36,3
"2013-09-26 07:11:57",0:00:34,34.4,0:00:31,30.7,41.7056632,-91.6099942,820,0.13,13.06,0:04:36,276,13.48,0:04:27,267,0,36,3
"2013-09-26 07:12:02",0:00:39,39.4,0:00:31,30.7,41.7058924,-91.6099476,812,0.14,12.15,0:04:56,296,13.22,0:04:32,272,0,36,4
"2013-09-26 07:12:05",0:00:43,42.5,0:00:31,30.7,41.7060457,-91.6099641,811,0.16,11.82,0:05:05,305,13.15,0:04:34,274,0,36,4
"2013-09-26 07:12:08",0:00:46,45.6,0:00:31,30.7,41.7061189,-91.6098812,812,0.16,10.63,0:05:39,339,12.79,0:04:41,281,0,36,4
"2013-09-26 07:12:19",0:00:56,56.3,0:00:31,30.7,41.7065949,-91.6098593,811,0.19,11.19,0:05:22,322,12.45,0:04:49,289,0,36,5
"2013-09-26 07:12:21",0:00:58,58.4,0:00:31,30.7,41.7066845,-91.6098676,811,0.20,11.03,0:05:26,326,12.40,0:04:50,290,0,36,5
"2013-09-26 07:12:23",0:01:00,60.3,0:00:31,30.7,41.7068231,-91.6099202,812,0.21,12.60,0:04:46,286,12.59,0:04:46,286,0,36,6
"2013-09-26 07:12:25",0:01:02,62.3,0:00:31,30.7,41.7069121,-91.6098805,814,0.22,12.46,0:04:49,289,12.56,0:04:47,287,0,36,6
"2013-09-26 07:12:33",0:01:10,70.3,0:00:31,30.7,41.7074059,-91.6099477,818,0.25,14.55,0:04:07,247,12.88,0:04:39,279,0,36,9
"2013-09-26 07:12:34",0:01:11,71.4,0:00:31,30.7,41.7075049,-91.6100545,819,0.26,16.65,0:03:36,216,13.14,0:04:34,274,0,36,9
"2013-09-26 07:12:41",0:01:18,78.3,0:00:31,30.7,41.7079891,-91.6100417,807,0.29,18.68,0:03:13,193,13.51,0:04:26,266,0,36,10
"2013-09-26 07:12:48",0:01:26,85.5,0:00:31,30.7,41.7083924,-91.6100311,807,0.32,15.49,0:03:52,232,13.55,0:04:26,266,0,36,12
"2013-09-26 07:12:49",0:01:27,86.6,0:00:31,30.7,41.7083765,-91.6100136,808,0.32,14.14,0:04:15,255,13.44,0:04:28,268,0,36,12
"2013-09-26 07:12:50",0:01:27,87.5,0:00:31,30.7,41.7084244,-91.6098070,809,0.33,16.22,0:03:42,222,13.76,0:04:22,262,0,36,12
"2013-09-26 07:12:59",0:01:37,96.6,0:00:31,30.7,41.7084565,-91.6091927,814,0.37,14.49,0:04:08,248,13.65,0:04:24,264,0,36,16
"2013-09-26 07:13:02",0:01:39,99.4,0:00:31,30.7,41.7084817,-91.6089840,816,0.38,12.54,0:04:47,287,13.66,0:04:23,263,0,36,17
"2013-09-26 07:13:09",0:01:45,105.3,0:00:32,31.7,41.7084631,-91.6085010,833,0.40,13.17,0:04:33,273,13.74,0:04:22,262,0,36,18
"2013-09-26 07:13:10",0:01:45,105.3,0:00:33,32.7,41.7083889,-91.6084625,833,0.41,13.44,0:04:28,268,13.93,0:04:18,258,0,36,18
"2013-09-26 07:13:51",0:01:45,105.3,0:01:14,73.7,41.7083799,-91.6083584,833,0.41,1.39,0:43:03,2583,14.11,0:04:15,255,0,36,18
"2013-09-26 07:14:30",0:01:45,105.3,0:01:53,112.9,41.7086407,-91.6082682,833,0.43,1.20,0:49:58,2998,14.75,0:04:04,244,0,36,18
"2013-09-26 07:14:35",0:01:45,105.3,0:01:58,117.7,41.7085930,-91.6080721,833,0.44,4.45,0:13:29,809,15.11,0:03:58,238,0,36,18
"2013-09-26 07:14:37",0:01:46,106.4,0:01:59,118.7,41.7086281,-91.6078227,833,0.46,8.72,0:06:53,413,15.42,0:03:54,234,0,36,18
"2013-09-26 07:14:45",0:01:54,114.4,0:01:59,118.7,41.7086187,-91.6072009,832,0.49,16.34,0:03:40,220,15.35,0:03:55,235,0,36,21
"2013-09-26 07:14:53",0:02:02,122.3,0:01:59,118.7,41.7085949,-91.6065942,831,0.52,14.90,0:04:02,242,15.28,0:03:56,236,0,36,23
"2013-09-26 07:15:00",0:02:09,129.3,0:01:59,118.7,41.7085861,-91.6059913,831,0.55,15.56,0:03:51,231,15.31,0:03:55,235,0,36,23
"2013-09-26 07:15:09",0:02:18,138.4,0:01:59,118.7,41.7085858,-91.6053563,830,0.58,13.62,0:04:24,264,15.17,0:03:57,237,0,36,25
"2013-09-26 07:15:14",0:02:23,143.3,0:01:59,118.7,41.7085286,-91.6051228,834,0.60,11.09,0:05:25,325,14.96,0:04:01,241,0,36,26
"2013-09-26 07:15:18",0:02:27,147.4,0:01:59,118.7,41.7083536,-91.6050747,838,0.61,10.23,0:05:52,352,14.85,0:04:02,242,0,36,27
"2013-09-26 07:15:24",0:02:33,153.3,0:01:59,118.7,41.7080781,-91.6047697,838,0.63,13.48,0:04:27,267,14.86,0:04:02,242,0,36,28
"2013-09-26 07:15:26",0:02:35,155.4,0:01:59,118.7,41.7080994,-91.6046213,837,0.64,13.85,0:04:20,260,14.84,0:04:03,243,0,36,28
"2013-09-26 07:15:33",0:02:43,162.6,0:01:59,118.7,41.7080606,-91.6040065,833,0.67,15.60,0:03:51,231,14.89,0:04:02,242,0,36,29
"2013-09-26 07:15:37",0:02:46,166.4,0:01:59,118.7,41.7080090,-91.6036394,832,0.69,16.90,0:03:33,213,14.97,0:04:01,241,0,36,29
"2013-09-26 07:15:39",0:02:48,168.4,0:01:59,118.7,41.7079476,-91.6034917,831,0.70,16.63,0:03:36,216,14.98,0:04:00,240,0,36,29
"2013-09-26 07:15:48",0:02:57,177.3,0:01:59,118.7,41.7075018,-91.6030426,822,0.74,15.62,0:03:50,230,15.01,0:04:00,240,0,36,30
"2013-09-26 07:15:57",0:03:06,186.3,0:01:59,118.7,41.7071141,-91.6027024,828,0.77,14.86,0:04:02,242,14.90,0:04:02,242,0,36,32
"2013-09-26 07:16:05",0:03:14,194.5,0:01:59,118.7,41.7066851,-91.6023275,831,0.81,15.36,0:03:54,234,14.93,0:04:01,241,0,36,35
"2013-09-26 07:16:15",0:03:24,204.3,0:01:59,118.7,41.7062866,-91.6019922,833,0.84,12.26,0:04:54,294,14.78,0:04:04,244,0,36,38
"2013-09-26 07:16:22",0:03:31,211.3,0:01:59,118.7,41.7062425,-91.6014635,826,0.87,12.02,0:04:59,299,14.76,0:04:04,244,0,36,38
"2013-09-26 07:16:23",0:03:32,212.3,0:01:59,118.7,41.7061005,-91.6014605,826,0.88,13.96,0:04:18,258,14.86,0:04:02,242,0,36,38
"2013-09-26 07:16:24",0:03:33,213.4,0:01:59,118.7,41.7061913,-91.6013271,825,0.89,17.88,0:03:21,201,14.94,0:04:01,241,0,36,38
"2013-09-26 07:16:29",0:03:38,218.4,0:01:59,118.7,41.7059191,-91.6009754,822,0.91,26.12,0:02:18,138,15.03,0:04:00,240,0,36,40
"2013-09-26 07:16:31",0:03:40,220.4,0:01:59,118.7,41.7058627,-91.6007962,821,0.92,20.53,0:02:55,175,15.06,0:03:59,239,0,36,41
"2013-09-26 07:16:36",0:03:45,225.4,0:01:59,118.7,41.7056120,-91.6004773,819,0.95,18.29,0:03:17,197,15.11,0:03:58,238,0,36,43
"2013-09-26 07:16:37",0:03:46,226.3,0:01:59,118.7,41.7055141,-91.6004747,819,0.95,18.57,0:03:14,194,15.15,0:03:58,238,0,36,43
"2013-09-26 07:16:39",0:03:48,228.4,0:01:59,118.7,41.7053936,-91.6003260,818,0.96,19.30,0:03:07,187,15.19,0:03:57,237,0,36,43
"2013-09-26 07:16:40",0:03:49,229.3,0:01:59,118.7,41.7053777,-91.6002367,818,0.97,18.76,0:03:12,192,15.21,0:03:57,237,0,36,43
"2013-09-26 07:16:44",0:03:53,233.3,0:01:59,118.7,41.7051795,-91.6000232,817,0.99,17.68,0:03:24,204,15.22,0:03:57,237,0,36,43
"2013-09-26 07:16:51",0:04:01,240.6,0:01:59,118.7,41.7049864,-91.5994047,815,1.02,17.18,0:03:29,209,15.27,0:03:56,236,0,36,44
"2013-09-26 07:16:58",0:04:07,247.4,0:01:59,118.7,41.7047738,-91.5988712,812,1.05,16.32,0:03:41,221,15.31,0:03:55,235,0,36,44
"2013-09-26 07:16:59",0:04:08,248.4,0:01:59,118.7,41.7047880,-91.5987685,811,1.06,16.73,0:03:35,215,15.33,0:03:55,235,0,36,44
