Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-10-09 07:22:46",0:00:01,0.9,0:00:00,0.0,41.7040185,-91.6098567,846,0.00,1.52,0:39:32,2372,0.00,0:00:00,0,0,0,0
"2013-10-09 07:22:49",0:00:01,0.9,0:00:03,2.6,41.7040247,-91.6098774,860,0.00,1.52,0:39:32,2372,4.65,0:12:54,774,0,0,0
"2013-10-09 07:23:03",0:00:01,0.9,0:00:17,16.6,41.7040617,-91.6098611,846,0.00,1.52,0:39:32,2372,15.54,0:03:52,232,0,0,0
"2013-10-09 07:23:12",0:00:01,0.9,0:00:26,25.5,41.7040970,-91.6100858,846,0.02,4.23,0:14:10,850,63.53,0:00:57,57,0,0,0
"2013-10-09 07:23:21",0:00:04,3.9,0:00:32,31.5,41.7044743,-91.6100461,847,0.04,10.19,0:05:53,353,38.50,0:01:34,94,0,0,0
"2013-10-09 07:23:28",0:00:11,10.9,0:00:32,31.5,41.7047787,-91.6098716,838,0.06,12.03,0:04:59,299,21.27,0:02:49,169,0,0,0
"2013-10-09 07:23:32",0:00:15,14.9,0:00:32,31.5,41.7049737,-91.6099166,839,0.08,12.14,0:04:56,296,18.90,0:03:11,191,0,0,1
"2013-10-09 07:23:33",0:00:16,15.9,0:00:32,31.5,41.7050227,-91.6098694,839,0.08,11.64,0:05:09,309,18.64,0:03:13,193,0,0,1
"2013-10-09 07:23:35",0:00:18,17.9,0:00:32,31.5,41.7051545,-91.6098862,840,0.09,12.32,0:04:52,292,18.40,0:03:16,196,0,0,1
"2013-10-09 07:23:37",0:00:20,20.1,0:00:32,31.5,41.7052711,-91.6099434,839,0.10,13.37,0:04:29,269,17.95,0:03:21,201,0,0,2
"2013-10-09 07:23:47",0:00:30,30.1,0:00:32,31.5,41.7057657,-91.6099556,830,0.13,12.52,0:04:48,288,16.08,0:03:44,224,0,0,2
"2013-10-09 07:23:50",0:00:33,32.9,0:00:32,31.5,41.7059239,-91.6099811,830,0.15,13.27,0:04:31,271,15.91,0:03:46,226,0,0,3
"2013-10-09 07:23:54",0:00:37,36.9,0:00:32,31.5,41.7061382,-91.6099622,831,0.16,13.46,0:04:27,267,15.63,0:03:50,230,0,0,3
