Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-10-02 06:53:42",0:00:00,0.4,0:00:00,0.0,41.7039962,-91.6100457,817,0.00,7.50,0:08:00,480,0.00,0:00:00,0,0,0,0
"2013-10-02 06:53:43",0:00:01,1.0,0:00:00,0.2,41.7039962,-91.6100457,806,0.00,7.50,0:08:00,480,0.00,0:00:00,0,0,0,0
"2013-10-02 07:08:37",0:00:02,2.0,0:14:54,893.9,41.7040334,-91.6101609,787,0.00,7.50,0:08:00,480,0.00,0:00:00,0,0,0,0
"2013-10-02 07:08:38",0:00:02,2.0,0:14:54,894.3,41.7040938,-91.6099340,787,0.01,7.50,0:08:00,480,22.92,0:02:37,157,0,0,0
"2013-10-02 07:08:49",0:00:02,2.0,0:15:06,906.1,41.7040317,-91.6099540,787,0.02,7.50,0:08:00,480,31.04,0:01:56,116,43,0,0
"2013-10-02 07:08:55",0:00:02,2.0,0:15:12,912.0,41.7040563,-91.6101411,787,0.03,4.32,0:13:53,833,49.12,0:01:13,73,43,0,0
"2013-10-02 07:08:58",0:00:02,2.0,0:15:14,914.2,41.7041260,-91.6101828,787,0.03,5.67,0:10:35,635,58.83,0:01:01,61,43,0,0
"2013-10-02 07:09:07",0:00:09,9.2,0:15:16,916.0,41.7045884,-91.6101100,813,0.06,12.22,0:04:55,295,24.95,0:02:24,144,43,0,2
"2013-10-02 07:09:07",0:00:10,10.0,0:15:16,916.0,41.7046294,-91.6101032,813,0.07,12.37,0:04:51,291,24.20,0:02:29,149,43,0,3
"2013-10-02 07:09:08",0:00:11,11.0,0:15:16,916.0,41.7046843,-91.6101445,811,0.07,13.05,0:04:36,276,23.37,0:02:34,154,43,0,3
"2013-10-02 07:09:09",0:00:12,12.0,0:15:16,916.0,41.7047221,-91.6100947,810,0.07,12.96,0:04:38,278,22.52,0:02:40,160,43,0,3
"2013-10-02 07:09:19",0:00:22,22.0,0:15:16,916.0,41.7051796,-91.6100865,816,0.11,11.35,0:05:17,317,17.41,0:03:27,207,43,0,6
"2013-10-02 07:09:30",0:00:33,32.9,0:15:16,916.0,41.7056736,-91.6100219,817,0.14,11.35,0:05:17,317,15.38,0:03:54,234,43,0,7
