Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-10-10 07:01:35",0:00:01,0.9,0:00:00,0.0,41.7039333,-91.6097588,879,0.00,4.44,0:13:30,810,0.00,0:00:00,0,0,0,0
"2013-10-10 07:01:42",0:00:08,8.3,0:00:00,0.0,41.7039618,-91.6098075,863,0.00,4.44,0:13:30,810,1.38,0:43:20,2600,0,0,0
"2013-10-10 07:01:50",0:00:16,16.4,0:00:00,0.0,41.7039910,-91.6099758,850,0.01,4.44,0:13:30,810,2.66,0:22:32,1352,0,4,1
"2013-10-10 07:01:56",0:00:22,22.2,0:00:00,0.0,41.7042040,-91.6101747,840,0.03,7.92,0:07:35,455,4.87,0:12:19,739,0,22,1
"2013-10-10 07:01:57",0:00:23,23.2,0:00:00,0.0,41.7043467,-91.6104622,838,0.05,7.92,0:07:35,455,7.42,0:08:05,485,0,40,1
"2013-10-10 07:02:04",0:00:30,30.3,0:00:00,0.0,41.7046176,-91.6103246,835,0.07,15.84,0:03:47,227,8.07,0:07:26,446,0,43,1
"2013-10-10 07:02:09",0:00:35,35.3,0:00:00,0.0,41.7048263,-91.6103556,833,0.08,11.18,0:05:22,322,8.41,0:07:08,428,0,43,2
"2013-10-10 07:02:15",0:00:41,41.3,0:00:00,0.0,41.7051110,-91.6102409,829,0.10,11.44,0:05:15,315,8.98,0:06:41,401,0,43,3
"2013-10-10 07:02:16",0:00:42,42.2,0:00:00,0.0,41.7051364,-91.6102995,828,0.11,11.61,0:05:10,310,9.08,0:06:37,397,0,43,3
"2013-10-10 07:02:17",0:00:43,43.2,0:00:00,0.0,41.7051876,-91.6103015,827,0.11,11.73,0:05:07,307,9.16,0:06:33,393,0,43,3
"2013-10-10 07:02:22",0:00:48,48.3,0:00:00,0.0,41.7054325,-91.6101996,824,0.13,12.30,0:04:53,293,9.52,0:06:18,378,0,43,3
"2013-10-10 07:02:26",0:00:52,52.4,0:00:00,0.0,41.7056191,-91.6102991,821,0.14,12.58,0:04:46,286,9.73,0:06:10,370,0,43,3
"2013-10-10 07:02:27",0:00:53,53.3,0:00:00,0.0,41.7056651,-91.6102577,820,0.15,12.73,0:04:43,283,9.81,0:06:07,367,0,43,4
"2013-10-10 07:02:33",0:00:59,59.2,0:00:00,0.0,41.7059714,-91.6102633,817,0.17,12.87,0:04:40,280,10.12,0:05:56,356,0,43,4
"2013-10-10 07:02:34",0:01:00,60.5,0:00:00,0.0,41.7060234,-91.6102026,817,0.17,13.55,0:04:26,266,10.20,0:05:53,353,0,43,4
"2013-10-10 07:02:35",0:01:01,61.3,0:00:00,0.0,41.7060594,-91.6102282,817,0.17,13.43,0:04:28,268,10.22,0:05:52,352,0,43,4
"2013-10-10 07:02:38",0:01:04,64.3,0:00:00,0.0,41.7062024,-91.6102097,817,0.18,12.83,0:04:40,280,10.31,0:05:49,349,0,43,5
"2013-10-10 07:02:39",0:01:05,65.3,0:00:00,0.0,41.7062480,-91.6102286,817,0.19,13.16,0:04:34,274,10.33,0:05:49,349,0,43,5
"2013-10-10 07:02:43",0:01:09,69.2,0:00:00,0.0,41.7064560,-91.6101452,816,0.20,13.68,0:04:23,263,10.52,0:05:42,342,0,43,6
"2013-10-10 07:02:45",0:01:11,71.3,0:00:00,0.0,41.7065287,-91.6101566,812,0.21,12.23,0:04:54,294,10.47,0:05:44,344,0,43,6
"2013-10-10 07:02:50",0:01:15,75.3,0:00:01,1.0,41.7067209,-91.6099964,804,0.22,11.86,0:05:03,303,10.66,0:05:38,338,0,57,6
"2013-10-10 07:02:58",0:01:15,75.3,0:00:09,9.0,41.7066575,-91.6100523,804,0.23,5.23,0:11:29,689,10.91,0:05:30,330,0,75,6
"2013-10-10 07:03:20",0:01:18,78.3,0:00:28,27.9,41.7071490,-91.6099846,797,0.26,11.41,0:05:15,315,12.06,0:04:59,299,0,75,7
"2013-10-10 07:03:24",0:01:22,82.3,0:00:28,27.9,41.7073763,-91.6099880,796,0.28,12.84,0:04:40,280,12.16,0:04:56,296,0,75,7
"2013-10-10 07:03:25",0:01:23,83.3,0:00:28,27.9,41.7074278,-91.6100565,796,0.28,16.06,0:03:44,224,12.23,0:04:54,294,0,75,7
"2013-10-10 07:03:33",0:01:31,91.4,0:00:28,27.9,41.7078838,-91.6100445,795,0.31,16.60,0:03:37,217,12.39,0:04:51,291,0,75,8
"2013-10-10 07:03:36",0:01:34,94.3,0:00:28,27.9,41.7081013,-91.6100388,795,0.33,15.45,0:03:53,233,12.57,0:04:46,286,0,75,8
"2013-10-10 07:03:37",0:01:35,95.4,0:00:28,27.9,41.7081648,-91.6100783,795,0.33,15.79,0:03:48,228,12.62,0:04:45,285,0,75,8
"2013-10-10 07:03:38",0:01:36,96.5,0:00:28,27.9,41.7082319,-91.6100815,795,0.34,15.85,0:03:47,227,12.65,0:04:45,285,0,75,8
"2013-10-10 07:03:41",0:01:39,99.3,0:00:28,27.9,41.7083982,-91.6099955,794,0.35,16.26,0:03:41,221,12.73,0:04:43,283,0,75,8
"2013-10-10 07:03:43",0:01:42,101.5,0:00:28,27.9,41.7084519,-91.6098485,794,0.36,16.05,0:03:44,224,12.76,0:04:42,282,0,75,8
"2013-10-10 07:03:44",0:01:42,102.4,0:00:28,27.9,41.7084243,-91.6097902,794,0.36,15.98,0:03:45,225,12.78,0:04:42,282,0,75,8
"2013-10-10 07:03:52",0:01:50,110.3,0:00:28,27.9,41.7084580,-91.6091802,792,0.39,14.08,0:04:16,256,12.89,0:04:39,279,0,75,9
"2013-10-10 07:03:55",0:01:53,113.4,0:00:28,27.9,41.7084796,-91.6090017,791,0.40,12.95,0:04:38,278,12.83,0:04:41,281,0,75,9
"2013-10-10 07:03:56",0:01:54,114.5,0:00:28,27.9,41.7084581,-91.6089313,790,0.41,12.98,0:04:37,277,12.84,0:04:40,280,0,75,9
"2013-10-10 07:03:57",0:01:55,115.3,0:00:28,27.9,41.7084907,-91.6089154,790,0.41,12.85,0:04:40,280,12.82,0:04:41,281,0,75,9
"2013-10-10 07:03:59",0:01:57,117.3,0:00:28,27.9,41.7084692,-91.6088200,788,0.42,11.85,0:05:04,304,12.76,0:04:42,282,0,75,10
"2013-10-10 07:04:02",0:02:00,120.3,0:00:28,27.9,41.7084871,-91.6087620,779,0.42,9.11,0:06:35,395,12.54,0:04:47,287,0,77,10
"2013-10-10 07:04:15",0:02:01,121.3,0:00:40,40.2,41.7084118,-91.6085414,784,0.43,4.19,0:14:20,860,12.81,0:04:41,281,0,99,10
"2013-10-10 07:04:25",0:02:01,121.3,0:00:50,49.9,41.7084822,-91.6085652,784,0.44,2.31,0:25:56,1556,12.96,0:04:38,278,0,108,10
"2013-10-10 07:04:35",0:02:03,123.3,0:00:58,58.0,41.7084410,-91.6079724,780,0.47,11.12,0:05:24,324,13.65,0:04:24,264,0,108,10
"2013-10-10 07:04:36",0:02:04,124.3,0:00:58,58.0,41.7084182,-91.6078784,780,0.47,12.79,0:04:41,281,13.69,0:04:23,263,0,108,10
"2013-10-10 07:04:43",0:02:11,131.4,0:00:58,58.0,41.7084282,-91.6072475,789,0.51,16.80,0:03:34,214,13.84,0:04:20,260,0,108,13
"2013-10-10 07:04:50",0:02:18,138.3,0:00:58,58.0,41.7084220,-91.6065688,795,0.54,17.16,0:03:30,210,14.06,0:04:16,256,0,108,16
"2013-10-10 07:04:57",0:02:25,145.2,0:00:58,58.0,41.7084161,-91.6059089,791,0.57,17.97,0:03:20,200,14.24,0:04:13,253,0,108,18
"2013-10-10 07:05:04",0:02:32,152.3,0:00:58,58.0,41.7084104,-91.6052837,787,0.61,17.23,0:03:29,209,14.34,0:04:11,251,0,108,19
"2013-10-10 07:05:07",0:02:35,155.3,0:00:58,58.0,41.7084082,-91.6050357,787,0.62,16.22,0:03:42,222,14.36,0:04:11,251,0,108,20
"2013-10-10 07:05:08",0:02:36,156.2,0:00:58,58.0,41.7083805,-91.6048960,787,0.63,17.16,0:03:30,210,14.45,0:04:09,249,0,108,20
"2013-10-10 07:05:13",0:02:41,161.3,0:00:58,58.0,41.7081173,-91.6046607,793,0.65,16.94,0:03:33,213,14.48,0:04:09,249,10,108,21
"2013-10-10 07:05:20",0:02:48,168.3,0:00:58,58.0,41.7080606,-91.6040363,800,0.68,15.93,0:03:46,226,14.58,0:04:07,247,25,108,25
