Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-08-19 17:51:53",0:00:01,1.1,0:00:00,0.0,41.6624695,-91.5495004,358,0.00,3.97,0:15:07,907,0.00,0:00:00,0,0,0,0
"2013-08-19 17:51:54",0:00:03,2.6,0:00:00,0.0,41.6625315,-91.5493446,368,0.01,3.97,0:15:07,907,12.71,0:04:43,283,23,0,0
"2013-08-19 17:52:00",0:00:08,8.0,0:00:00,0.0,41.6625135,-91.5491867,407,0.02,3.97,0:15:07,907,7.82,0:07:40,460,44,0,0
"2013-08-19 17:52:11",0:00:19,19.0,0:00:00,0.0,41.6624983,-91.5493696,485,0.03,3.97,0:15:07,907,5.10,0:11:46,706,68,0,1
"2013-08-19 17:52:14",0:00:22,22.1,0:00:00,0.0,41.6625680,-91.5494831,507,0.03,6.14,0:09:47,587,5.61,0:10:42,642,88,0,1
"2013-08-19 17:52:20",0:00:28,28.0,0:00:00,0.0,41.6628999,-91.5497289,549,0.06,12.12,0:04:57,297,7.81,0:07:41,461,154,0,2
"2013-08-19 17:52:26",0:00:34,34.0,0:00:00,0.0,41.6632218,-91.5499021,591,0.08,13.57,0:04:25,265,8.96,0:06:42,402,215,0,2
"2013-08-19 17:52:32",0:00:40,40.0,0:00:00,0.0,41.6634199,-91.5502026,634,0.11,13.29,0:04:31,271,9.48,0:06:20,380,267,0,3
"2013-08-19 17:52:35",0:00:43,43.0,0:00:00,0.0,41.6634656,-91.5504075,655,0.12,13.03,0:04:36,276,9.75,0:06:09,369,295,0,3
"2013-08-19 17:52:36",0:00:44,44.0,0:00:00,0.0,41.6634925,-91.5504480,662,0.12,12.77,0:04:42,282,9.76,0:06:09,369,303,0,3
"2013-08-19 17:52:43",0:00:51,51.0,0:00:00,0.0,41.6635762,-91.5509181,678,0.14,12.70,0:04:44,284,10.18,0:05:54,354,312,0,6
