Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-09-11 07:05:07",0:00:01,0.9,0:00:00,0.0,41.7039941,-91.6099641,781,0.00,3.28,0:18:17,1097,0.00,0:00:00,0,0,0,0
"2013-09-11 07:05:08",0:00:02,1.6,0:00:00,0.0,41.7040130,-91.6099409,779,0.00,3.28,0:18:17,1097,4.01,0:14:57,897,0,0,0
"2013-09-11 07:05:17",0:00:12,11.5,0:00:00,0.0,41.7041037,-91.6098984,753,0.01,3.28,0:18:17,1097,2.63,0:22:50,1370,0,0,0
"2013-09-11 07:05:24",0:00:18,17.6,0:00:00,0.0,41.7041915,-91.6100788,779,0.02,4.94,0:12:09,729,4.00,0:15:01,901,0,0,1
"2013-09-11 07:05:29",0:00:23,22.7,0:00:00,0.0,41.7043528,-91.6100970,807,0.03,7.60,0:07:54,474,4.86,0:12:21,741,0,0,3
"2013-09-11 07:05:31",0:00:25,24.6,0:00:00,0.0,41.7044365,-91.6101254,809,0.04,8.53,0:07:02,422,5.37,0:11:10,670,6,0,3
"2013-09-11 07:05:32",0:00:26,25.8,0:00:00,0.0,41.7044947,-91.6100984,810,0.04,9.04,0:06:38,398,5.72,0:10:30,630,10,0,4
"2013-09-11 07:05:42",0:00:36,35.7,0:00:00,0.0,41.7049576,-91.6100603,823,0.07,11.76,0:05:06,306,7.34,0:08:10,490,39,0,7
"2013-09-11 07:05:51",0:00:45,44.8,0:00:00,0.0,41.7054298,-91.6100846,835,0.11,12.80,0:04:41,281,8.48,0:07:05,425,39,0,11
"2013-09-11 07:06:00",0:00:54,53.6,0:00:00,0.0,41.7058474,-91.6100366,836,0.13,12.35,0:04:51,291,9.03,0:06:39,399,39,0,13
"2013-09-11 07:06:00",0:00:55,54.5,0:00:00,0.0,41.7059007,-91.6100968,835,0.14,12.38,0:04:51,291,9.20,0:06:31,391,39,0,13
"2013-09-11 07:06:09",0:01:04,63.5,0:00:00,0.0,41.7063216,-91.6100695,829,0.17,13.29,0:04:31,271,9.54,0:06:17,377,39,0,15
"2013-09-11 07:06:10",0:01:05,64.6,0:00:00,0.0,41.7063679,-91.6097645,829,0.18,13.29,0:04:31,271,10.29,0:05:50,350,39,0,15
"2013-09-11 07:06:12",0:01:07,66.5,0:00:00,0.0,41.7065195,-91.6100805,827,0.20,15.19,0:03:57,237,11.04,0:05:26,326,39,0,15
"2013-09-11 07:06:18",0:01:13,72.6,0:00:00,0.0,41.7067890,-91.6100744,834,0.22,13.49,0:04:27,267,11.04,0:05:26,326,39,0,17
"2013-09-11 07:06:21",0:01:15,74.8,0:00:00,0.0,41.7069332,-91.6100079,838,0.23,14.91,0:04:02,242,11.21,0:05:21,321,39,0,18
"2013-09-11 07:06:21",0:01:16,75.5,0:00:00,0.0,41.7069875,-91.6100681,839,0.24,15.51,0:03:52,232,11.34,0:05:17,317,39,0,19
"2013-09-11 07:06:30",0:01:24,83.8,0:00:00,0.0,41.7074413,-91.6100562,846,0.27,14.17,0:04:14,254,11.57,0:05:11,311,39,0,22
"2013-09-11 07:06:37",0:01:31,90.6,0:00:00,0.0,41.7079321,-91.6100432,850,0.30,16.50,0:03:38,218,12.04,0:04:59,299,39,0,25
"2013-09-11 07:06:43",0:01:38,97.6,0:00:00,0.0,41.7083712,-91.6100187,845,0.33,16.64,0:03:36,216,12.30,0:04:53,293,39,0,27
"2013-09-11 07:06:44",0:01:39,98.5,0:00:00,0.0,41.7084246,-91.6098579,843,0.34,18.46,0:03:15,195,12.51,0:04:48,288,39,0,27
"2013-09-11 07:06:54",0:01:48,107.8,0:00:00,0.0,41.7084521,-91.6092285,828,0.38,14.67,0:04:05,245,12.53,0:04:47,287,39,0,28
"2013-09-11 07:06:58",0:01:52,111.6,0:00:00,0.0,41.7084816,-91.6089845,823,0.39,12.61,0:04:46,286,12.51,0:04:48,288,39,0,28
"2013-09-11 07:07:07",0:02:01,120.6,0:00:00,0.0,41.7084599,-91.6084094,815,0.42,11.79,0:05:05,305,12.46,0:04:49,289,39,0,30
