Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-08-20 07:35:59",0:00:01,0.8,0:00:00,0.0,41.7040827,-91.6099027,837,0.00,2.60,0:23:03,1383,0.00,0:00:00,0,0,0,0
"2013-08-20 07:36:03",0:00:04,4.1,0:00:00,0.0,41.7040692,-91.6099064,835,0.00,2.60,0:23:03,1383,0.83,1:12:16,4336,0,0,0
"2013-08-20 07:36:10",0:00:11,11.1,0:00:00,0.0,41.7040058,-91.6099473,830,0.01,2.60,0:23:03,1383,1.88,0:31:54,1914,0,0,0
"2013-08-20 07:36:16",0:00:17,17.3,0:00:00,0.0,41.7040837,-91.6101291,826,0.02,4.92,0:12:12,732,3.46,0:17:20,1040,0,0,1
"2013-08-20 07:36:26",0:00:28,28.1,0:00:00,0.0,41.7045438,-91.6101066,818,0.05,10.75,0:05:35,335,6.21,0:09:40,580,0,0,1
"2013-08-20 07:36:37",0:00:39,39.1,0:00:00,0.0,41.7050322,-91.6100736,807,0.08,11.12,0:05:24,324,7.57,0:07:55,475,0,0,2
"2013-08-20 07:36:43",0:00:45,45.0,0:00:00,0.0,41.7052627,-91.6101227,808,0.10,10.40,0:05:46,346,7.86,0:07:38,458,0,0,3
"2013-08-20 07:36:54",0:00:56,56.0,0:00:00,0.0,41.7057135,-91.6100452,808,0.13,10.39,0:05:46,346,8.33,0:07:12,432,0,4,4
"2013-08-20 07:36:58",0:01:00,60.0,0:00:00,0.0,41.7058730,-91.6100597,801,0.14,10.78,0:05:34,334,8.44,0:07:07,427,0,18,4
"2013-08-20 07:37:00",0:01:02,62.1,0:00:00,0.0,41.7059602,-91.6100224,797,0.15,11.42,0:05:15,315,8.53,0:07:02,422,0,26,4
"2013-08-20 07:37:01",0:01:03,63.0,0:00:00,0.0,41.7060303,-91.6100507,795,0.15,12.07,0:04:58,298,8.68,0:06:55,415,0,33,4
"2013-08-20 07:37:11",0:01:13,73.0,0:00:00,0.0,41.7064871,-91.6100079,787,0.18,11.40,0:05:16,316,9.05,0:06:38,398,0,49,5
"2013-08-20 07:37:20",0:01:21,81.1,0:00:00,0.0,41.7068705,-91.6100019,799,0.21,11.62,0:05:10,310,9.32,0:06:26,386,0,49,8
"2013-08-20 07:37:21",0:01:23,83.1,0:00:00,0.0,41.7069476,-91.6099735,800,0.22,11.52,0:05:12,312,9.34,0:06:25,385,0,49,8
"2013-08-20 07:37:25",0:01:27,87.1,0:00:00,0.0,41.7072239,-91.6100096,802,0.23,13.40,0:04:29,269,9.71,0:06:11,371,0,49,10
"2013-08-20 07:37:27",0:01:29,89.1,0:00:00,0.0,41.7073532,-91.6099842,803,0.24,14.22,0:04:13,253,9.85,0:06:05,365,0,49,10
"2013-08-20 07:37:28",0:01:30,90.1,0:00:00,0.0,41.7074306,-91.6099999,804,0.25,15.01,0:04:00,240,9.96,0:06:02,362,0,49,11
"2013-08-20 07:37:30",0:01:31,91.1,0:00:00,0.0,41.7075037,-91.6100545,804,0.26,15.68,0:03:50,230,10.07,0:05:57,357,0,49,11
"2013-08-20 07:37:37",0:01:38,98.2,0:00:00,0.0,41.7080162,-91.6100410,799,0.29,18.24,0:03:17,197,10.65,0:05:38,338,0,49,13
"2013-08-20 07:37:44",0:01:45,105.2,0:00:00,0.0,41.7084142,-91.6100305,801,0.32,15.64,0:03:50,230,10.88,0:05:31,331,0,49,15
"2013-08-20 07:37:45",0:01:46,106.1,0:00:00,0.0,41.7084620,-91.6099179,802,0.32,16.44,0:03:39,219,11.01,0:05:27,327,0,49,15
"2013-08-20 07:37:48",0:01:49,109.1,0:00:00,0.0,41.7084371,-91.6097032,804,0.34,14.42,0:04:10,250,11.08,0:05:25,325,0,49,16
"2013-08-20 07:37:49",0:01:51,111.1,0:00:00,0.0,41.7084670,-91.6096063,804,0.34,13.51,0:04:27,267,11.06,0:05:26,326,0,49,17
"2013-08-20 07:37:52",0:01:53,113.1,0:00:00,0.0,41.7084278,-91.6094442,803,0.35,13.66,0:04:24,264,11.14,0:05:23,323,0,49,17
"2013-08-20 07:37:57",0:01:59,119.1,0:00:00,0.0,41.7084818,-91.6089829,800,0.37,13.78,0:04:21,261,11.31,0:05:18,318,0,49,19
"2013-08-20 07:38:05",0:02:07,127.1,0:00:00,0.0,41.7084611,-91.6084427,799,0.40,13.34,0:04:30,270,11.39,0:05:16,316,0,49,19
"2013-08-20 07:38:12",0:02:13,133.1,0:00:00,0.0,41.7084787,-91.6083052,797,0.41,6.45,0:09:18,558,11.07,0:05:25,325,0,49,20
"2013-08-20 07:38:44",0:02:46,166.1,0:00:00,0.0,41.7084237,-91.6083768,790,0.41,1.10,0:54:20,3260,8.99,0:06:41,401,0,49,22
"2013-08-20 07:38:49",0:02:51,171.1,0:00:00,0.0,41.7083610,-91.6083588,789,0.42,2.51,0:23:57,1437,8.82,0:06:48,408,0,49,22
"2013-08-20 07:39:03",0:03:04,184.2,0:00:00,0.0,41.7083215,-91.6083943,787,0.42,2.82,0:21:15,1275,8.26,0:07:16,436,0,49,23
"2013-08-20 07:39:11",0:03:13,193.1,0:00:00,0.0,41.7084161,-91.6081327,783,0.44,5.82,0:10:19,619,8.16,0:07:21,441,0,49,24
"2013-08-20 07:39:16",0:03:18,198.0,0:00:00,0.0,41.7083158,-91.6075868,778,0.47,13.65,0:04:24,264,8.48,0:07:05,425,0,49,24
"2013-08-20 07:39:17",0:03:19,199.1,0:00:00,0.0,41.7084304,-91.6075012,780,0.48,16.09,0:03:44,224,8.60,0:06:59,419,0,49,24
"2013-08-20 07:39:22",0:03:24,204.1,0:00:00,0.0,41.7084152,-91.6068342,789,0.51,25.32,0:02:22,142,9.00,0:06:40,400,0,49,26
"2013-08-20 07:39:23",0:03:25,205.1,0:00:00,0.0,41.7084250,-91.6068959,791,0.51,21.92,0:02:44,164,9.01,0:06:40,400,0,49,27
"2013-08-20 07:39:31",0:03:33,213.1,0:00:00,0.0,41.7084189,-91.6062213,789,0.55,15.22,0:03:56,236,9.26,0:06:29,389,0,49,30
"2013-08-20 07:39:37",0:03:39,219.1,0:00:00,0.0,41.7084131,-91.6055828,790,0.58,18.41,0:03:16,196,9.55,0:06:17,377,0,49,32
"2013-08-20 07:39:45",0:03:46,226.2,0:00:00,0.0,41.7084076,-91.6049659,796,0.61,17.29,0:03:28,208,9.76,0:06:09,369,0,49,35
"2013-08-20 07:39:45",0:03:47,227.1,0:00:00,0.0,41.7084071,-91.6049122,798,0.62,16.86,0:03:34,214,9.77,0:06:09,369,0,49,36
"2013-08-20 07:39:49",0:03:51,231.1,0:00:00,0.0,41.7081580,-91.6047113,803,0.64,15.77,0:03:48,228,9.91,0:06:03,363,0,49,38
"2013-08-20 07:39:51",0:03:52,232.3,0:00:00,0.0,41.7081025,-91.6046286,803,0.64,16.02,0:03:45,225,9.94,0:06:02,362,0,49,38
"2013-08-20 07:39:57",0:03:59,239.1,0:00:00,0.0,41.7080606,-91.6040269,801,0.67,15.51,0:03:52,232,10.13,0:05:55,355,0,49,40
"2013-08-20 07:40:02",0:04:04,244.0,0:00:00,0.0,41.7080086,-91.6036379,805,0.69,15.71,0:03:49,229,10.23,0:05:52,352,0,49,41
"2013-08-20 07:40:05",0:04:07,247.1,0:00:00,0.0,41.7079337,-91.6034757,810,0.70,13.45,0:04:28,268,10.25,0:05:51,351,0,49,43
"2013-08-20 07:40:13",0:04:15,255.1,0:00:00,0.0,41.7075151,-91.6030544,817,0.74,14.77,0:04:04,244,10.44,0:05:45,345,22,49,45
"2013-08-20 07:40:18",0:04:20,260.1,0:00:00,0.0,41.7072558,-91.6028263,821,0.76,15.13,0:03:58,238,10.53,0:05:42,342,33,49,47
"2013-08-20 07:40:20",0:04:21,261.2,0:00:00,0.0,41.7071286,-91.6029321,821,0.77,17.39,0:03:27,207,10.63,0:05:39,339,33,49,48
"2013-08-20 07:40:22",0:04:24,264.0,0:00:00,0.0,41.7069677,-91.6028012,823,0.78,18.75,0:03:12,192,10.69,0:05:37,337,33,49,49
"2013-08-20 07:40:23",0:04:25,265.1,0:00:00,0.0,41.7070123,-91.6026136,823,0.79,22.05,0:02:43,163,10.79,0:05:34,334,33,49,49
"2013-08-20 07:40:31",0:04:33,273.1,0:00:00,0.0,41.7066104,-91.6022625,827,0.83,16.75,0:03:35,215,10.91,0:05:30,330,33,49,52
"2013-08-20 07:40:37",0:04:39,279.1,0:00:00,0.0,41.7062917,-91.6019952,829,0.85,14.83,0:04:03,243,11.01,0:05:27,327,33,49,54
"2013-08-20 07:40:45",0:04:47,287.1,0:00:00,0.0,41.7062424,-91.6014628,830,0.88,13.90,0:04:19,259,11.05,0:05:26,326,33,49,56
"2013-08-20 07:40:47",0:04:49,289.1,0:00:00,0.0,41.7061922,-91.6013291,830,0.89,13.44,0:04:28,268,11.07,0:05:25,325,33,49,56
"2013-08-20 07:40:54",0:04:55,295.1,0:00:00,0.0,41.7058155,-91.6008470,831,0.93,19.67,0:03:03,183,11.28,0:05:19,319,33,49,58
"2013-08-20 07:41:00",0:05:02,302.1,0:00:00,0.0,41.7054471,-91.6003898,832,0.96,18.59,0:03:14,194,11.44,0:05:15,315,33,49,61
"2013-08-20 07:41:01",0:05:03,303.1,0:00:00,0.0,41.7054472,-91.6002514,832,0.97,19.05,0:03:09,189,11.48,0:05:13,313,33,49,62
"2013-08-20 07:41:09",0:05:11,311.1,0:00:00,0.0,41.7051361,-91.5997539,832,1.00,16.20,0:03:42,222,11.58,0:05:11,311,33,49,65
"2013-08-20 07:41:10",0:05:12,312.1,0:00:00,0.0,41.7050783,-91.5996912,832,1.01,16.56,0:03:37,217,11.60,0:05:10,310,33,49,65
"2013-08-20 07:41:15",0:05:17,317.1,0:00:00,0.0,41.7049832,-91.5992892,829,1.03,15.69,0:03:49,229,11.66,0:05:09,309,33,49,66
"2013-08-20 07:41:22",0:05:24,324.1,0:00:00,0.0,41.7047432,-91.5987327,829,1.06,16.72,0:03:35,215,11.78,0:05:06,306,33,49,68
"2013-08-20 07:41:23",0:05:25,325.0,0:00:00,0.0,41.7047237,-91.5986606,829,1.06,16.59,0:03:37,217,11.79,0:05:05,305,33,49,68
"2013-08-20 07:41:25",0:05:27,327.0,0:00:00,0.0,41.7046278,-91.5985114,831,1.07,16.94,0:03:32,212,11.83,0:05:04,304,33,49,69
"2013-08-20 07:41:29",0:05:31,331.1,0:00:00,0.0,41.7045773,-91.5982002,833,1.09,16.38,0:03:40,220,11.86,0:05:03,303,33,49,71
"2013-08-20 07:41:31",0:05:32,332.2,0:00:00,0.0,41.7045928,-91.5981050,833,1.10,16.10,0:03:44,224,11.88,0:05:03,303,33,49,71
"2013-08-20 07:41:35",0:05:37,337.0,0:00:00,0.0,41.7045505,-91.5976301,830,1.12,17.01,0:03:32,212,11.97,0:05:01,301,33,49,72
"2013-08-20 07:41:42",0:05:43,343.1,0:00:00,0.0,41.7043501,-91.5971941,826,1.15,16.27,0:03:41,221,12.04,0:04:59,299,33,49,74
"2013-08-20 07:41:46",0:05:48,348.1,0:00:00,0.0,41.7042968,-91.5968454,823,1.17,14.74,0:04:04,244,12.06,0:04:59,299,33,49,74
"2013-08-20 07:41:50",0:05:52,352.0,0:00:00,0.0,41.7041877,-91.5965769,825,1.18,13.99,0:04:17,257,12.08,0:04:58,298,33,49,75
"2013-08-20 07:41:53",0:05:54,354.1,0:00:00,0.0,41.7040915,-91.5965064,825,1.19,13.82,0:04:20,260,12.09,0:04:58,298,33,49,76
"2013-08-20 07:41:54",0:05:56,356.1,0:00:00,0.0,41.7039717,-91.5965478,826,1.20,14.25,0:04:13,253,12.11,0:04:57,297,33,49,76
