Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-09-12 07:16:43",0:00:01,0.9,0:00:00,0.0,41.7039557,-91.6099227,715,0.00,5.29,0:11:20,680,0.00,0:00:00,0,0,0,0
"2013-09-12 07:16:43",0:00:01,1.3,0:00:00,0.0,41.7039980,-91.6101012,715,0.01,5.29,0:11:20,680,26.20,0:02:17,137,0,0,0
"2013-09-12 07:16:55",0:00:13,12.9,0:00:00,0.0,41.7039713,-91.6100553,748,0.01,5.29,0:11:20,680,3.54,0:16:56,1016,4,0,2
"2013-09-12 07:16:59",0:00:17,17.1,0:00:00,0.0,41.7040753,-91.6101530,767,0.02,5.66,0:10:36,636,4.53,0:13:15,795,21,0,3
"2013-09-12 07:17:01",0:00:19,18.8,0:00:00,0.0,41.7041698,-91.6101502,775,0.03,6.79,0:08:50,530,5.35,0:11:13,673,33,0,3
"2013-09-12 07:17:04",0:00:22,22.1,0:00:00,0.0,41.7043797,-91.6099738,790,0.05,12.23,0:04:54,294,7.36,0:08:09,489,67,0,4
"2013-09-12 07:17:09",0:00:27,27.1,0:00:00,0.0,41.7045993,-91.6099781,813,0.06,13.45,0:04:28,268,8.01,0:07:29,449,96,0,6
"2013-09-12 07:17:12",0:00:30,29.8,0:00:00,0.0,41.7047111,-91.6100399,818,0.07,13.48,0:04:27,267,8.28,0:07:15,435,102,0,8
"2013-09-12 07:17:23",0:00:41,40.9,0:00:00,0.0,41.7052058,-91.6100223,821,0.10,11.21,0:05:21,321,9.04,0:06:38,398,102,0,10
"2013-09-12 07:17:29",0:00:47,47.1,0:00:00,0.0,41.7055065,-91.6100172,826,0.12,12.03,0:04:59,299,9.44,0:06:21,381,102,0,12
"2013-09-12 07:17:30",0:00:48,47.9,0:00:00,0.0,41.7055460,-91.6099792,827,0.13,12.23,0:04:54,294,9.53,0:06:18,378,102,0,12
"2013-09-12 07:17:40",0:00:58,57.8,0:00:00,0.0,41.7060160,-91.6099739,841,0.16,12.06,0:04:59,299,9.92,0:06:03,363,102,0,16
"2013-09-12 07:17:50",0:01:08,68.1,0:00:00,0.0,41.7064810,-91.6099712,833,0.19,11.34,0:05:18,318,10.12,0:05:56,356,102,0,17
"2013-09-12 07:17:54",0:01:12,72.1,0:00:00,0.0,41.7066844,-91.6099675,836,0.21,12.05,0:04:59,299,10.26,0:05:51,351,102,0,18
"2013-09-12 07:18:04",0:01:22,81.9,0:00:00,0.0,41.7071767,-91.6099842,832,0.24,12.40,0:04:50,290,10.52,0:05:42,342,102,0,20
"2013-09-12 07:18:11",0:01:29,88.9,0:00:00,0.0,41.7076876,-91.6099618,837,0.27,16.70,0:03:36,216,11.12,0:05:24,324,102,0,22
"2013-09-12 07:18:18",0:01:36,95.9,0:00:00,0.0,41.7081684,-91.6099404,835,0.31,17.71,0:03:23,203,11.56,0:05:12,312,102,0,23
"2013-09-12 07:18:21",0:01:39,99.1,0:00:00,0.0,41.7083392,-91.6099774,833,0.32,16.06,0:03:44,224,11.62,0:05:10,310,102,0,23
"2013-09-12 07:18:23",0:01:41,100.9,0:00:00,0.0,41.7084286,-91.6099090,832,0.33,15.59,0:03:51,231,11.66,0:05:09,309,102,0,23
"2013-09-12 07:18:32",0:01:50,110.1,0:00:00,0.0,41.7084514,-91.6092348,832,0.36,13.67,0:04:23,263,11.83,0:05:04,304,102,0,24
"2013-09-12 07:18:36",0:01:54,113.8,0:00:00,0.0,41.7084234,-91.6089427,833,0.38,12.66,0:04:44,284,11.93,0:05:02,302,102,0,24
"2013-09-12 07:18:49",0:02:07,126.8,0:00:00,0.0,41.7084234,-91.6083210,823,0.41,8.72,0:06:53,413,11.62,0:05:10,310,102,0,25
"2013-09-12 07:18:50",0:02:08,128.1,0:00:00,0.0,41.7084067,-91.6083343,823,0.41,7.47,0:08:02,482,11.54,0:05:12,312,102,0,25
"2013-09-12 07:20:08",0:03:26,205.8,0:00:00,0.0,41.7083546,-91.6080575,830,0.43,5.47,0:10:59,659,7.44,0:08:04,484,102,0,31
"2013-09-12 07:20:16",0:03:34,213.9,0:00:00,0.0,41.7083552,-91.6074110,831,0.46,15.39,0:03:54,234,7.72,0:07:46,466,102,0,33
"2013-09-12 07:20:23",0:03:41,220.9,0:00:00,0.0,41.7083493,-91.6067671,832,0.49,17.00,0:03:32,212,8.02,0:07:29,449,102,0,35
"2013-09-12 07:20:30",0:03:48,228.0,0:00:00,0.0,41.7082952,-91.6061109,832,0.53,17.01,0:03:32,212,8.31,0:07:13,433,102,0,37
"2013-09-12 07:20:36",0:03:54,233.8,0:00:00,0.0,41.7082671,-91.6054770,833,0.56,18.56,0:03:14,194,8.61,0:06:58,418,102,0,39
"2013-09-12 07:20:40",0:03:58,237.9,0:00:00,0.0,41.7083084,-91.6050801,833,0.58,19.50,0:03:05,185,8.77,0:06:50,410,102,0,41
"2013-09-12 07:20:42",0:04:00,239.9,0:00:00,0.0,41.7082848,-91.6049086,832,0.59,18.39,0:03:16,196,8.84,0:06:47,407,102,0,41
"2013-09-12 07:20:43",0:04:01,240.9,0:00:00,0.0,41.7082265,-91.6048570,831,0.59,17.63,0:03:24,204,8.87,0:06:46,406,102,0,42
"2013-09-12 07:20:44",0:04:02,242.3,0:00:00,0.0,41.7081347,-91.6048267,830,0.60,17.43,0:03:27,207,8.92,0:06:44,404,102,0,42
"2013-09-12 07:20:46",0:04:04,243.9,0:00:00,0.0,41.7080587,-91.6046882,829,0.61,17.97,0:03:20,200,8.99,0:06:40,400,102,0,43
"2013-09-12 07:20:49",0:04:07,246.9,0:00:00,0.0,41.7080235,-91.6044048,827,0.62,18.29,0:03:17,197,9.10,0:06:36,396,102,0,43
"2013-09-12 07:20:56",0:04:14,254.1,0:00:00,0.0,41.7079835,-91.6037778,835,0.66,16.83,0:03:34,214,9.30,0:06:27,387,102,0,45
"2013-09-12 07:20:58",0:04:16,255.9,0:00:00,0.0,41.7079551,-91.6035960,837,0.67,16.98,0:03:32,212,9.37,0:06:24,384,102,0,46
"2013-09-12 07:21:00",0:04:18,257.8,0:00:00,0.0,41.7078479,-91.6034403,839,0.68,17.57,0:03:25,205,9.45,0:06:21,381,102,0,46
"2013-09-12 07:21:06",0:04:24,263.9,0:00:00,0.0,41.7075126,-91.6031694,834,0.70,17.23,0:03:29,209,9.61,0:06:15,375,102,0,49
"2013-09-12 07:21:13",0:04:31,270.9,0:00:00,0.0,41.7071116,-91.6027850,831,0.74,17.49,0:03:26,206,9.81,0:06:07,367,102,0,49
"2013-09-12 07:21:20",0:04:38,277.9,0:00:00,0.0,41.7067088,-91.6023496,825,0.77,18.19,0:03:18,198,10.02,0:05:59,359,102,0,50
"2013-09-12 07:21:27",0:04:45,284.9,0:00:00,0.0,41.7063234,-91.6019905,815,0.81,17.90,0:03:21,201,10.19,0:05:53,353,102,0,50
"2013-09-12 07:21:29",0:04:47,286.9,0:00:00,0.0,41.7062621,-91.6018727,813,0.81,16.87,0:03:33,213,10.21,0:05:53,353,102,0,50
"2013-09-12 07:21:37",0:04:55,294.9,0:00:00,0.0,41.7061863,-91.6013592,796,0.84,12.68,0:04:44,284,10.26,0:05:51,351,102,14,51
"2013-09-12 07:21:42",0:05:00,299.9,0:00:00,0.0,41.7059653,-91.6009024,786,0.87,16.47,0:03:39,219,10.43,0:05:45,345,102,36,51
"2013-09-12 07:21:48",0:05:06,305.8,0:00:00,0.0,41.7055733,-91.6004108,792,0.91,21.61,0:02:47,167,10.67,0:05:38,338,102,36,52
"2013-09-12 07:21:55",0:05:13,312.9,0:00:00,0.0,41.7051979,-91.5999388,796,0.94,20.05,0:03:00,180,10.83,0:05:32,332,102,36,55
"2013-09-12 07:21:58",0:05:16,315.9,0:00:00,0.0,41.7050578,-91.5997131,802,0.96,18.20,0:03:18,198,10.90,0:05:30,330,102,36,56
"2013-09-12 07:22:01",0:05:19,319.1,0:00:00,0.0,41.7050221,-91.5994143,810,0.97,17.85,0:03:22,202,10.97,0:05:28,328,102,36,58
"2013-09-12 07:22:07",0:05:25,324.9,0:00:00,0.0,41.7048376,-91.5987982,804,1.01,19.87,0:03:01,181,11.16,0:05:23,323,102,36,60
"2013-09-12 07:22:14",0:05:32,331.9,0:00:00,0.0,41.7046400,-91.5981825,800,1.04,19.09,0:03:09,189,11.30,0:05:19,319,102,36,60
"2013-09-12 07:22:19",0:05:37,336.9,0:00:00,0.0,41.7045994,-91.5977381,811,1.06,17.46,0:03:26,206,11.38,0:05:16,316,105,36,62
"2013-09-12 07:22:21",0:05:39,338.8,0:00:00,0.0,41.7045600,-91.5975701,812,1.07,17.21,0:03:29,209,11.41,0:05:16,316,113,36,63
"2013-09-12 07:22:22",0:05:40,339.8,0:00:00,0.0,41.7046409,-91.5975050,813,1.08,17.34,0:03:28,208,11.44,0:05:15,315,119,36,64
"2013-09-12 07:22:23",0:05:41,340.8,0:00:00,0.0,41.7046420,-91.5974051,813,1.09,17.45,0:03:26,206,11.46,0:05:14,314,123,36,64
"2013-09-12 07:22:24",0:05:42,341.8,0:00:00,0.0,41.7044604,-91.5973188,814,1.10,20.37,0:02:57,177,11.57,0:05:11,311,135,36,64
"2013-09-12 07:22:26",0:05:44,343.8,0:00:00,0.0,41.7043802,-91.5971856,814,1.11,20.29,0:02:57,177,11.60,0:05:10,310,135,36,65
"2013-09-12 07:22:32",0:05:50,349.8,0:00:00,0.0,41.7043097,-91.5966609,812,1.14,20.19,0:02:58,178,11.68,0:05:08,308,135,36,68
"2013-09-12 07:22:33",0:05:51,350.8,0:00:00,0.0,41.7042322,-91.5966409,811,1.14,19.91,0:03:01,181,11.70,0:05:08,308,135,36,68
"2013-09-12 07:22:34",0:05:52,351.8,0:00:00,0.0,41.7041921,-91.5965884,810,1.14,16.51,0:03:38,218,11.71,0:05:07,307,135,36,68
"2013-09-12 07:22:36",0:05:54,353.8,0:00:00,0.0,41.7040964,-91.5965601,809,1.15,15.83,0:03:47,227,11.71,0:05:07,307,135,36,69
"2013-09-12 07:22:41",0:05:59,358.8,0:00:00,0.0,41.7038439,-91.5966593,805,1.17,14.02,0:04:17,257,11.73,0:05:07,307,135,36,69
"2013-09-12 07:22:45",0:06:03,362.8,0:00:00,0.0,41.7036126,-91.5963558,802,1.19,15.40,0:03:54,234,11.82,0:05:04,304,135,36,69
"2013-09-12 07:22:47",0:06:05,364.9,0:00:00,0.0,41.7034740,-91.5963104,801,1.20,16.59,0:03:37,217,11.86,0:05:04,304,135,36,69
"2013-09-12 07:22:48",0:06:06,365.8,0:00:00,0.0,41.7033513,-91.5963911,801,1.21,18.69,0:03:13,193,11.92,0:05:02,302,135,36,70
"2013-09-12 07:22:51",0:06:09,368.9,0:00:00,0.0,41.7030537,-91.5964876,801,1.23,22.65,0:02:39,159,12.03,0:04:59,299,135,36,70
"2013-09-12 07:22:53",0:06:11,370.8,0:00:00,0.0,41.7028850,-91.5966236,801,1.25,23.01,0:02:36,156,12.09,0:04:58,298,135,36,70
"2013-09-12 07:22:54",0:06:12,371.8,0:00:00,0.0,41.7028281,-91.5967629,801,1.25,24.06,0:02:30,150,12.14,0:04:57,297,135,36,70
