Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-09-05 07:34:43",0:00:01,0.9,0:00:00,0.0,41.7039846,-91.6099200,771,0.00,1.50,0:40:00,2400,0.00,0:00:00,0,0,0,0
"2013-09-05 07:34:44",0:00:02,1.7,0:00:00,0.0,41.7039514,-91.6099173,774,0.00,1.50,0:40:00,2400,4.90,0:12:14,734,13,0,0
"2013-09-05 07:34:56",0:00:14,13.6,0:00:00,0.0,41.7038849,-91.6099902,810,0.01,1.50,0:40:00,2400,2.18,0:27:31,1651,43,0,2
"2013-09-05 07:35:01",0:00:19,18.8,0:00:00,0.0,41.7039777,-91.6101219,793,0.02,4.48,0:13:24,804,3.36,0:17:51,1071,43,0,2
"2013-09-05 07:35:12",0:00:30,29.6,0:00:00,0.0,41.7044279,-91.6100965,786,0.05,10.38,0:05:47,347,5.92,0:10:09,609,43,0,3
"2013-09-05 07:35:21",0:00:39,38.7,0:00:00,0.0,41.7048191,-91.6100504,784,0.08,10.73,0:05:36,336,7.05,0:08:31,511,43,2,4
"2013-09-05 07:35:24",0:00:42,41.6,0:00:00,0.0,41.7050264,-91.6100112,784,0.09,13.02,0:04:37,277,7.81,0:07:41,461,43,4,5
"2013-09-05 07:35:27",0:00:45,44.6,0:00:00,0.0,41.7052655,-91.6101460,784,0.11,15.56,0:03:51,231,8.73,0:06:52,412,43,7,6
"2013-09-05 07:35:34",0:00:52,51.6,0:00:00,0.0,41.7057288,-91.6101013,783,0.14,18.00,0:03:20,200,9.77,0:06:08,368,43,12,8
"2013-09-05 07:35:42",0:01:00,59.6,0:00:00,0.0,41.7061961,-91.6100890,783,0.17,14.83,0:04:03,243,10.41,0:05:46,346,43,16,8
"2013-09-05 07:35:53",0:01:11,70.9,0:00:00,0.0,41.7066546,-91.6100769,782,0.20,14.56,0:04:07,247,10.37,0:05:47,347,43,21,9
"2013-09-05 07:35:56",0:01:14,73.6,0:00:00,0.0,41.7066133,-91.6100780,782,0.21,11.30,0:05:18,318,10.12,0:05:56,356,43,22,9
"2013-09-05 07:35:57",0:01:15,74.6,0:00:00,0.0,41.7066436,-91.6100004,782,0.21,11.12,0:05:24,324,10.20,0:05:53,353,43,22,9
"2013-09-05 07:35:58",0:01:16,75.6,0:00:00,0.0,41.7069254,-91.6100250,782,0.23,12.25,0:04:54,294,11.00,0:05:27,327,43,25,9
"2013-09-05 07:36:04",0:01:22,81.7,0:00:00,0.0,41.7070710,-91.6100970,781,0.24,13.29,0:04:31,271,10.64,0:05:38,338,43,27,10
"2013-09-05 07:36:11",0:01:29,88.6,0:00:00,0.0,41.7075343,-91.6101799,781,0.27,16.43,0:03:39,219,11.13,0:05:23,323,43,32,10
"2013-09-05 07:36:12",0:01:30,89.6,0:00:00,0.0,41.7075710,-91.6100527,781,0.28,16.93,0:03:33,213,11.29,0:05:19,319,43,33,10
"2013-09-05 07:36:18",0:01:36,95.7,0:00:00,0.0,41.7080243,-91.6100408,801,0.31,19.82,0:03:02,182,11.75,0:05:06,306,66,33,13
"2013-09-05 07:36:26",0:01:44,103.8,0:00:00,0.0,41.7084137,-91.6100134,815,0.34,13.42,0:04:28,268,11.77,0:05:06,306,79,33,17
"2013-09-05 07:36:34",0:01:52,111.8,0:00:00,0.0,41.7084395,-91.6093407,824,0.37,13.76,0:04:22,262,12.04,0:04:59,299,79,33,20
"2013-09-05 07:36:40",0:01:58,117.9,0:00:00,0.0,41.7084818,-91.6089833,839,0.39,11.18,0:05:22,322,11.99,0:05:00,300,79,33,22
"2013-09-05 07:36:43",0:02:01,120.6,0:00:00,0.0,41.7084724,-91.6087659,837,0.40,9.35,0:06:25,385,12.06,0:04:58,298,79,33,23
"2013-09-05 07:36:44",0:02:02,121.7,0:00:00,0.0,41.7084079,-91.6087220,836,0.41,12.67,0:04:44,284,12.10,0:04:57,297,79,33,24
"2013-09-05 07:37:07",0:02:25,144.7,0:00:00,0.0,41.7083794,-91.6083908,855,0.43,0.84,1:11:46,4306,10.61,0:05:39,339,118,33,28
"2013-09-05 07:37:42",0:03:00,179.6,0:00:00,0.0,41.7083462,-91.6077777,852,0.46,10.61,0:05:39,339,9.18,0:06:32,392,118,33,40
"2013-09-05 07:37:47",0:03:05,184.6,0:00:00,0.0,41.7083483,-91.6073122,851,0.48,15.70,0:03:49,229,9.40,0:06:23,383,118,33,42
"2013-09-05 07:37:54",0:03:12,191.7,0:00:00,0.0,41.7082912,-91.6066811,852,0.51,16.84,0:03:34,214,9.67,0:06:12,372,118,33,44
"2013-09-05 07:38:00",0:03:18,197.6,0:00:00,0.0,41.7083090,-91.6061006,855,0.55,17.88,0:03:21,201,9.93,0:06:03,363,118,33,46
"2013-09-05 07:38:01",0:03:19,198.7,0:00:00,0.0,41.7083347,-91.6060182,856,0.55,17.65,0:03:24,204,9.96,0:06:02,362,118,33,46
"2013-09-05 07:38:03",0:03:21,200.7,0:00:00,0.0,41.7082980,-91.6058496,857,0.56,17.51,0:03:26,206,10.02,0:05:59,359,118,33,47
"2013-09-05 07:38:05",0:03:23,202.7,0:00:00,0.0,41.7083004,-91.6056768,858,0.57,17.43,0:03:27,207,10.08,0:05:57,357,118,33,48
"2013-09-05 07:38:06",0:03:24,203.6,0:00:00,0.0,41.7084129,-91.6055572,859,0.58,19.31,0:03:06,186,10.21,0:05:52,352,118,33,48
"2013-09-05 07:38:13",0:03:31,210.8,0:00:00,0.0,41.7084079,-91.6050048,862,0.61,17.06,0:03:31,211,10.35,0:05:48,348,118,33,51
"2013-09-05 07:38:19",0:03:37,216.6,0:00:00,0.0,41.7080616,-91.6046049,856,0.64,17.33,0:03:28,208,10.60,0:05:40,340,118,33,53
"2013-09-05 07:38:23",0:03:41,220.7,0:00:00,0.0,41.7080516,-91.6042150,843,0.66,18.55,0:03:14,194,10.73,0:05:35,335,118,33,53
"2013-09-05 07:38:27",0:03:45,224.6,0:00:00,0.0,41.7080131,-91.6038484,835,0.68,16.28,0:03:41,221,10.85,0:05:32,332,118,33,53
"2013-09-05 07:38:30",0:03:48,227.6,0:00:00,0.0,41.7079138,-91.6035923,830,0.69,17.87,0:03:21,201,10.95,0:05:29,329,118,33,53
"2013-09-05 07:38:31",0:03:49,228.6,0:00:00,0.0,41.7079196,-91.6034595,829,0.70,18.90,0:03:10,190,11.01,0:05:27,327,118,33,53
"2013-09-05 07:38:38",0:03:56,235.6,0:00:00,0.0,41.7075297,-91.6030675,827,0.73,18.23,0:03:17,197,11.19,0:05:22,322,118,33,54
"2013-09-05 07:38:39",0:03:57,236.6,0:00:00,0.0,41.7074801,-91.6030232,827,0.74,17.97,0:03:20,200,11.21,0:05:21,321,118,33,54
"2013-09-05 07:38:40",0:03:58,237.6,0:00:00,0.0,41.7073809,-91.6030802,827,0.74,19.11,0:03:08,188,11.28,0:05:19,319,118,33,55
"2013-09-05 07:38:47",0:04:05,244.6,0:00:00,0.0,41.7069862,-91.6027273,835,0.78,18.30,0:03:17,197,11.43,0:05:15,315,118,33,58
"2013-09-05 07:38:49",0:04:07,246.6,0:00:00,0.0,41.7068581,-91.6026727,834,0.79,17.82,0:03:22,202,11.48,0:05:14,314,118,33,59
"2013-09-05 07:38:51",0:04:09,248.7,0:00:00,0.0,41.7067412,-91.6025400,833,0.80,17.34,0:03:28,208,11.54,0:05:12,312,118,33,59
"2013-09-05 07:38:52",0:04:10,249.6,0:00:00,0.0,41.7067563,-91.6023898,832,0.80,18.45,0:03:15,195,11.61,0:05:10,310,118,33,60
"2013-09-05 07:38:59",0:04:17,256.6,0:00:00,0.0,41.7063297,-91.6020192,826,0.84,18.47,0:03:15,195,11.78,0:05:06,306,118,62,60
"2013-09-05 07:39:03",0:04:21,260.7,0:00:00,0.0,41.7062864,-91.6019921,823,0.84,13.38,0:04:29,269,11.64,0:05:09,309,118,66,60
"2013-09-05 07:39:10",0:04:28,267.7,0:00:00,0.0,41.7062423,-91.6014624,823,0.87,11.19,0:05:22,322,11.71,0:05:07,307,118,66,61
"2013-09-05 07:39:12",0:04:30,269.6,0:00:00,0.0,41.7061911,-91.6013267,824,0.88,12.69,0:04:44,284,11.73,0:05:07,307,118,66,62
"2013-09-05 07:39:17",0:04:35,274.8,0:00:00,0.0,41.7058447,-91.6008832,827,0.91,18.69,0:03:13,193,11.94,0:05:01,301,118,66,64
"2013-09-05 07:39:23",0:04:41,280.9,0:00:00,0.0,41.7054741,-91.6004254,830,0.95,21.53,0:02:47,167,12.13,0:04:57,297,118,66,66
"2013-09-05 07:39:30",0:04:48,287.9,0:00:00,0.0,41.7051312,-91.5999150,835,0.98,18.94,0:03:10,190,12.28,0:04:53,293,118,66,69
"2013-09-05 07:39:36",0:04:54,293.6,0:00:00,0.0,41.7049117,-91.5993863,838,1.01,19.44,0:03:05,185,12.42,0:04:50,290,118,66,72
"2013-09-05 07:39:42",0:05:00,299.9,0:00:00,0.0,41.7047099,-91.5988428,824,1.04,18.65,0:03:13,193,12.54,0:04:47,287,118,66,72
"2013-09-05 07:39:44",0:05:02,301.6,0:00:00,0.0,41.7046583,-91.5986542,817,1.05,19.05,0:03:09,189,12.59,0:04:46,286,118,66,73
"2013-09-05 07:39:46",0:05:03,303.3,0:00:00,0.0,41.7046851,-91.5985434,821,1.06,18.38,0:03:16,196,12.59,0:04:46,286,118,66,73
