Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-08-20 17:42:46",0:00:01,1.1,0:00:00,0.0,41.6626336,-91.5358744,522,0.00,4.26,0:14:05,845,0.00,0:00:00,0,0,0,0
"2013-08-20 17:42:48",0:00:03,2.6,0:00:00,0.0,41.6626186,-91.5358896,530,0.00,4.26,0:14:05,845,1.80,0:33:25,2005,11,0,0
"2013-08-20 17:43:05",0:00:20,20.0,0:00:00,0.0,41.6627329,-91.5360473,593,0.01,4.26,0:14:05,845,2.28,0:26:19,1579,69,0,3
"2013-08-20 17:43:09",0:00:24,24.0,0:00:00,0.0,41.6627700,-91.5361856,594,0.02,6.15,0:09:45,585,3.04,0:19:43,1183,69,0,3
"2013-08-20 17:43:19",0:00:34,33.9,0:00:00,0.0,41.6632636,-91.5360710,573,0.05,12.07,0:04:58,298,5.81,0:10:19,619,69,0,4
"2013-08-20 17:43:29",0:00:44,43.9,0:00:00,0.0,41.6636427,-91.5360705,578,0.08,9.95,0:06:02,362,6.64,0:09:03,543,69,0,5
"2013-08-20 17:43:31",0:00:46,45.9,0:00:00,0.0,41.6636848,-91.5361357,580,0.09,9.20,0:06:31,391,6.69,0:08:58,538,69,0,6
"2013-08-20 17:43:32",0:00:47,47.1,0:00:00,0.0,41.6636948,-91.5364121,581,0.10,12.45,0:04:49,289,7.62,0:07:53,473,69,0,6
"2013-08-20 17:43:37",0:00:52,52.4,0:00:00,0.0,41.6637901,-91.5367023,597,0.12,15.91,0:03:46,226,7.99,0:07:31,451,69,0,8
"2013-08-20 17:43:40",0:00:54,54.5,0:00:00,0.0,41.6638010,-91.5370476,604,0.13,20.08,0:02:59,179,8.86,0:06:47,407,69,0,9
"2013-08-20 17:43:40",0:00:54,54.5,0:00:00,0.0,41.6637677,-91.5371437,604,0.14,20.78,0:02:53,173,9.22,0:06:31,391,69,0,9
"2013-08-20 17:43:40",0:00:55,54.5,0:00:00,0.0,41.6637758,-91.5373173,604,0.15,23.91,0:02:31,151,9.81,0:06:07,367,83,0,9
"2013-08-20 17:43:40",0:00:55,54.9,0:00:00,0.0,41.6636360,-91.5374255,607,0.16,27.72,0:02:10,130,10.46,0:05:44,344,99,0,10
"2013-08-20 17:43:44",0:00:59,59.2,0:00:00,0.0,41.6636369,-91.5375809,633,0.17,18.11,0:03:19,199,10.20,0:05:53,353,112,0,12
"2013-08-20 17:43:46",0:01:01,61.0,0:00:00,0.0,41.6634604,-91.5377398,633,0.18,16.85,0:03:34,214,10.77,0:05:34,334,112,0,12
"2013-08-20 17:43:48",0:01:03,63.2,0:00:00,0.0,41.6632825,-91.5377740,632,0.19,19.33,0:03:06,186,11.10,0:05:24,324,112,0,13
"2013-08-20 17:43:49",0:01:04,63.9,0:00:00,0.0,41.6632360,-91.5375998,632,0.20,21.89,0:02:44,164,11.51,0:05:13,313,112,0,14
"2013-08-20 17:43:50",0:01:05,65.0,0:00:00,0.0,41.6631451,-91.5378094,632,0.22,20.34,0:02:57,177,12.02,0:05:00,300,112,0,14
"2013-08-20 17:43:56",0:01:11,71.2,0:00:00,0.0,41.6627049,-91.5377762,630,0.25,25.52,0:02:21,141,12.51,0:04:48,288,112,0,15
"2013-08-20 17:43:57",0:01:12,71.9,0:00:00,0.0,41.6626611,-91.5376259,630,0.26,26.35,0:02:17,137,12.80,0:04:41,281,112,0,15
"2013-08-20 17:44:07",0:01:22,81.9,0:00:00,0.0,41.6621733,-91.5376459,629,0.29,12.13,0:04:57,297,12.71,0:04:43,283,112,0,15
"2013-08-20 17:44:13",0:01:28,88.0,0:00:00,0.0,41.6617161,-91.5376638,627,0.32,19.73,0:03:03,183,13.13,0:04:34,274,112,0,16
"2013-08-20 17:44:19",0:01:34,94.2,0:00:00,0.0,41.6613496,-91.5376699,623,0.35,16.59,0:03:37,217,13.23,0:04:32,272,112,0,16
"2013-08-20 17:44:24",0:01:39,99.1,0:00:00,0.0,41.6612844,-91.5383399,635,0.38,20.39,0:02:57,177,13.84,0:04:20,260,112,0,18
"2013-08-20 17:44:31",0:01:46,106.0,0:00:00,0.0,41.6612800,-91.5390078,638,0.42,17.74,0:03:23,203,14.12,0:04:15,255,112,0,21
"2013-08-20 17:44:32",0:01:47,107.2,0:00:00,0.0,41.6613138,-91.5391167,639,0.42,17.87,0:03:21,201,14.17,0:04:14,254,112,0,22
"2013-08-20 17:44:35",0:01:50,110.0,0:00:00,0.0,41.6612700,-91.5394763,639,0.44,19.41,0:03:05,185,14.43,0:04:10,250,112,0,23
"2013-08-20 17:44:37",0:01:52,112.0,0:00:00,0.0,41.6613009,-91.5396506,641,0.45,18.99,0:03:10,190,14.47,0:04:09,249,112,0,23
"2013-08-20 17:44:44",0:01:59,119.2,0:00:00,0.0,41.6612737,-91.5402570,646,0.48,16.43,0:03:39,219,14.54,0:04:08,248,112,0,26
"2013-08-20 17:44:46",0:02:01,121.0,0:00:00,0.0,41.6612730,-91.5404246,646,0.49,16.18,0:03:42,222,14.58,0:04:07,247,112,0,27
"2013-08-20 17:44:47",0:02:02,122.1,0:00:00,0.0,41.6613018,-91.5405159,646,0.50,16.10,0:03:44,224,14.60,0:04:07,247,112,0,27
"2013-08-20 17:44:49",0:02:04,124.0,0:00:00,0.0,41.6612980,-91.5406963,644,0.50,16.30,0:03:41,221,14.65,0:04:06,246,112,0,28
"2013-08-20 17:44:50",0:02:05,125.0,0:00:00,0.0,41.6613222,-91.5407630,643,0.51,16.06,0:03:44,224,14.64,0:04:06,246,112,0,28
"2013-08-20 17:44:52",0:02:07,127.2,0:00:00,0.0,41.6612953,-91.5408998,640,0.52,15.03,0:04:00,240,14.60,0:04:07,247,112,0,28
"2013-08-20 17:44:58",0:02:13,133.0,0:00:00,0.0,41.6612945,-91.5413414,641,0.54,13.83,0:04:20,260,14.58,0:04:07,247,112,0,29
"2013-08-20 17:44:59",0:02:14,133.9,0:00:00,0.0,41.6612663,-91.5413886,642,0.54,13.66,0:04:24,264,14.56,0:04:07,247,112,0,30
"2013-08-20 17:45:09",0:02:24,144.0,0:00:00,0.0,41.6612593,-91.5420165,650,0.57,11.63,0:05:10,310,14.36,0:04:11,251,112,0,33
"2013-08-20 17:45:10",0:02:25,144.9,0:00:00,0.0,41.6612555,-91.5419925,649,0.58,10.81,0:05:33,333,14.29,0:04:12,252,112,0,34
"2013-08-20 17:45:11",0:02:26,146.0,0:00:00,0.0,41.6612291,-91.5420477,649,0.58,10.93,0:05:29,329,14.28,0:04:12,252,112,0,34
"2013-08-20 17:45:19",0:02:34,153.9,0:00:00,0.0,41.6612139,-91.5421458,646,0.58,5.23,0:11:28,688,13.66,0:04:24,264,112,0,34
"2013-08-20 17:45:46",0:03:01,180.9,0:00:00,0.0,41.6612265,-91.5420378,644,0.59,2.07,0:28:57,1737,11.73,0:05:07,307,112,0,36
"2013-08-20 17:45:52",0:03:07,187.0,0:00:00,0.0,41.6612767,-91.5421645,643,0.60,4.15,0:14:27,867,11.50,0:05:13,313,112,0,37
"2013-08-20 17:46:02",0:03:17,196.9,0:00:00,0.0,41.6612700,-91.5427839,655,0.63,11.94,0:05:02,302,11.50,0:05:13,313,112,0,40
"2013-08-20 17:46:04",0:03:19,199.0,0:00:00,0.0,41.6612832,-91.5429149,656,0.64,12.90,0:04:39,279,11.51,0:05:13,313,112,0,41
"2013-08-20 17:46:06",0:03:21,201.0,0:00:00,0.0,41.6613186,-91.5429811,658,0.64,11.99,0:05:00,300,11.47,0:05:14,314,112,0,41
"2013-08-20 17:46:10",0:03:25,205.0,0:00:00,0.0,41.6612926,-91.5431727,659,0.65,10.66,0:05:38,338,11.42,0:05:15,315,112,0,42
"2013-08-20 17:46:14",0:03:29,209.0,0:00:00,0.0,41.6614124,-91.5433696,659,0.66,9.16,0:06:33,393,11.43,0:05:15,315,112,0,43
"2013-08-20 17:46:17",0:03:32,211.9,0:00:00,0.0,41.6615559,-91.5434221,659,0.67,11.14,0:05:23,323,11.44,0:05:15,315,112,0,43
"2013-08-20 17:46:18",0:03:33,213.0,0:00:00,0.0,41.6615559,-91.5435130,659,0.68,11.35,0:05:17,317,11.47,0:05:14,314,112,0,43
"2013-08-20 17:46:20",0:03:35,215.0,0:00:00,0.0,41.6615973,-91.5435477,659,0.68,11.57,0:05:11,311,11.42,0:05:15,315,112,0,44
"2013-08-20 17:46:21",0:03:36,216.0,0:00:00,0.0,41.6616115,-91.5436255,659,0.69,12.01,0:05:00,300,11.43,0:05:15,315,112,0,44
"2013-08-20 17:46:34",0:03:49,229.1,0:00:00,0.0,41.6620710,-91.5437421,659,0.72,7.90,0:07:36,456,11.28,0:05:19,319,112,0,46
"2013-08-20 17:46:44",0:03:59,238.9,0:00:00,0.0,41.6625449,-91.5436124,664,0.75,11.86,0:05:04,304,11.32,0:05:18,318,125,0,49
"2013-08-20 17:46:50",0:04:05,244.9,0:00:00,0.0,41.6629098,-91.5435740,667,0.78,15.47,0:03:53,233,11.42,0:05:15,315,139,0,51
"2013-08-20 17:46:52",0:04:07,247.0,0:00:00,0.0,41.6630162,-91.5435203,669,0.78,16.51,0:03:38,218,11.44,0:05:15,315,144,0,52
"2013-08-20 17:46:56",0:04:11,250.9,0:00:00,0.0,41.6632890,-91.5438524,674,0.81,18.26,0:03:17,197,11.62,0:05:10,310,148,0,53
"2013-08-20 17:47:02",0:04:17,256.9,0:00:00,0.0,41.6634392,-91.5444128,681,0.84,19.93,0:03:01,181,11.78,0:05:06,306,148,0,56
"2013-08-20 17:47:04",0:04:19,258.9,0:00:00,0.0,41.6634552,-91.5446474,682,0.85,19.82,0:03:02,182,11.86,0:05:04,304,148,0,57
"2013-08-20 17:47:05",0:04:20,260.0,0:00:00,0.0,41.6634898,-91.5447415,682,0.86,19.39,0:03:06,186,11.89,0:05:03,303,148,0,58
"2013-08-20 17:47:07",0:04:22,261.9,0:00:00,0.0,41.6634671,-91.5449868,683,0.87,20.10,0:02:59,179,11.98,0:05:01,301,148,0,58
"2013-08-20 17:47:08",0:04:23,262.9,0:00:00,0.0,41.6633554,-91.5450980,684,0.88,21.98,0:02:44,164,12.06,0:04:58,298,148,0,59
"2013-08-20 17:47:16",0:04:31,271.0,0:00:00,0.0,41.6633640,-91.5457486,686,0.91,18.28,0:03:17,197,12.15,0:04:56,296,148,0,62
"2013-08-20 17:47:24",0:04:39,278.9,0:00:00,0.0,41.6633029,-91.5464370,691,0.95,15.14,0:03:58,238,12.27,0:04:53,293,148,0,64
"2013-08-20 17:47:31",0:04:46,286.0,0:00:00,0.0,41.6631572,-91.5471207,695,0.99,16.73,0:03:35,215,12.43,0:04:50,290,148,0,67
"2013-08-20 17:47:36",0:04:51,291.2,0:00:00,0.0,41.6629341,-91.5477585,704,1.02,24.76,0:02:25,145,12.66,0:04:44,284,178,0,69
"2013-08-20 17:47:41",0:04:56,296.1,0:00:00,0.0,41.6627363,-91.5483062,705,1.06,24.25,0:02:28,148,12.83,0:04:41,281,184,0,72
"2013-08-20 17:47:45",0:05:00,300.0,0:00:00,0.0,41.6626092,-91.5486700,705,1.08,21.26,0:02:49,169,12.91,0:04:39,279,184,0,73
"2013-08-20 17:47:46",0:05:01,301.0,0:00:00,0.0,41.6625353,-91.5488011,705,1.08,21.82,0:02:45,165,12.97,0:04:38,278,184,0,74
"2013-08-20 17:47:48",0:05:03,303.0,0:00:00,0.0,41.6625262,-91.5490117,705,1.10,21.14,0:02:50,170,13.02,0:04:37,277,184,0,74
"2013-08-20 17:47:51",0:05:06,306.0,0:00:00,0.0,41.6626037,-91.5493130,703,1.11,20.69,0:02:54,174,13.08,0:04:35,275,184,0,76
"2013-08-20 17:47:57",0:05:12,312.0,0:00:00,0.0,41.6629536,-91.5497110,705,1.14,19.29,0:03:07,187,13.20,0:04:33,273,184,0,78
"2013-08-20 17:48:01",0:05:16,316.0,0:00:00,0.0,41.6631400,-91.5498867,706,1.16,17.17,0:03:30,210,13.21,0:04:33,273,184,0,79
"2013-08-20 17:48:02",0:05:17,317.0,0:00:00,0.0,41.6631854,-91.5499621,706,1.16,17.27,0:03:28,208,13.22,0:04:32,272,184,0,79
"2013-08-20 17:48:05",0:05:20,320.0,0:00:00,0.0,41.6633350,-91.5501272,706,1.18,17.02,0:03:31,211,13.25,0:04:32,272,184,0,80
"2013-08-20 17:48:16",0:05:31,331.0,0:00:00,0.0,41.6635299,-91.5507007,708,1.21,10.71,0:05:36,336,13.16,0:04:33,273,184,0,83
"2013-08-20 17:48:18",0:05:33,333.0,0:00:00,0.0,41.6635346,-91.5507947,708,1.22,9.64,0:06:13,373,13.14,0:04:34,274,184,0,83
"2013-08-20 17:48:19",0:05:34,333.9,0:00:00,0.0,41.6635578,-91.5508262,708,1.22,9.29,0:06:27,387,13.13,0:04:34,274,184,0,83
"2013-08-20 17:48:29",0:05:44,343.9,0:00:00,0.0,41.6636716,-91.5514397,706,1.25,11.69,0:05:08,308,13.09,0:04:35,275,184,0,85
"2013-08-20 17:48:37",0:05:52,352.0,0:00:00,0.0,41.6638257,-91.5520995,709,1.29,15.44,0:03:53,233,13.15,0:04:34,274,184,0,88
"2013-08-20 17:48:41",0:05:56,355.9,0:00:00,0.0,41.6638717,-91.5524675,707,1.31,16.86,0:03:33,213,13.20,0:04:33,273,184,0,89
