Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-09-30 17:20:25",0:00:01,1.0,0:00:00,0.0,41.6626010,-91.5354265,761,0.00,5.30,0:11:19,679,0.00,0:00:00,0,0,0,0
"2013-09-30 17:20:26",0:00:02,1.7,0:00:00,0.0,41.6626255,-91.5354149,741,0.00,5.30,0:11:19,679,3.88,0:15:28,928,0,0,0
"2013-09-30 17:20:55",0:00:10,9.7,0:00:21,21.2,41.6624744,-91.5359196,738,0.03,5.30,0:11:19,679,11.15,0:05:23,323,0,12,0
"2013-09-30 17:20:58",0:00:13,12.7,0:00:21,21.2,41.6625188,-91.5359430,736,0.03,4.48,0:13:23,803,9.44,0:06:21,381,0,13,0
"2013-09-30 17:21:05",0:00:20,19.7,0:00:21,21.2,41.6627582,-91.5358149,730,0.05,7.22,0:08:19,499,9.35,0:06:25,385,0,21,1
"2013-09-30 17:21:09",0:00:24,23.7,0:00:21,21.2,41.6630737,-91.5357336,727,0.07,10.37,0:05:47,347,11.13,0:05:23,323,0,30,1
"2013-09-30 17:21:21",0:00:36,35.7,0:00:21,21.2,41.6634918,-91.5360191,720,0.11,14.27,0:04:12,252,10.65,0:05:38,338,0,43,2
"2013-09-30 17:21:24",0:00:39,38.7,0:00:21,21.2,41.6636040,-91.5361285,726,0.12,13.81,0:04:21,261,10.72,0:05:36,336,0,43,2
"2013-09-30 17:21:25",0:00:40,39.7,0:00:21,21.2,41.6636284,-91.5361850,728,0.12,13.66,0:04:24,264,10.75,0:05:35,335,0,43,2
"2013-09-30 17:21:31",0:00:46,46.1,0:00:21,21.2,41.6636840,-91.5368135,735,0.15,16.28,0:03:41,221,11.83,0:05:04,304,0,43,5
"2013-09-30 17:21:32",0:00:47,46.7,0:00:21,21.2,41.6636329,-91.5368432,733,0.16,16.34,0:03:40,220,11.97,0:05:01,301,0,43,5
"2013-09-30 17:21:35",0:00:50,49.7,0:00:21,21.2,41.6636336,-91.5369798,726,0.16,15.49,0:03:52,232,11.76,0:05:06,306,0,43,7
"2013-09-30 17:21:36",0:00:51,50.7,0:00:21,21.2,41.6636094,-91.5369717,724,0.16,14.97,0:04:01,241,11.65,0:05:09,309,0,43,7
"2013-09-30 17:21:37",0:00:52,51.7,0:00:21,21.2,41.6634479,-91.5375902,722,0.20,14.97,0:04:01,241,13.79,0:04:21,261,0,43,7
"2013-09-30 17:21:45",0:01:00,59.7,0:00:21,21.2,41.6629666,-91.5376120,706,0.23,22.27,0:02:42,162,13.94,0:04:18,258,0,43,8
"2013-09-30 17:21:53",0:01:08,67.7,0:00:21,21.2,41.6625144,-91.5376325,709,0.26,13.66,0:04:23,263,13.95,0:04:18,258,0,43,10
"2013-09-30 17:22:00",0:01:15,74.7,0:00:21,21.2,41.6620574,-91.5376504,700,0.29,15.35,0:03:54,234,14.17,0:04:14,254,0,43,10
"2013-09-30 17:22:07",0:01:22,81.7,0:00:21,21.2,41.6616044,-91.5376682,690,0.33,15.86,0:03:47,227,14.32,0:04:11,251,0,56,11
"2013-09-30 17:22:11",0:01:26,85.7,0:00:21,21.2,41.6614585,-91.5376739,683,0.34,13.55,0:04:26,266,14.09,0:04:16,256,0,66,11
"2013-09-30 17:22:14",0:01:29,88.7,0:00:21,21.2,41.6612877,-91.5378636,678,0.35,10.76,0:05:35,335,14.23,0:04:13,253,0,81,11
"2013-09-30 17:22:21",0:01:36,95.7,0:00:21,21.2,41.6612836,-91.5384671,666,0.38,16.31,0:03:41,221,14.36,0:04:11,251,0,85,12
"2013-09-30 17:22:23",0:01:38,97.7,0:00:21,21.2,41.6612823,-91.5386560,666,0.39,17.96,0:03:20,200,14.43,0:04:10,250,0,85,12
"2013-09-30 17:22:24",0:01:39,98.7,0:00:21,21.2,41.6615192,-91.5387571,666,0.41,17.96,0:03:20,200,14.91,0:04:01,241,0,85,12
"2013-09-30 17:22:28",0:01:43,102.7,0:00:21,21.2,41.6615199,-91.5392245,664,0.43,22.33,0:02:41,161,15.18,0:03:57,237,0,85,12
"2013-09-30 17:22:32",0:01:47,106.7,0:00:21,21.2,41.6614506,-91.5397181,656,0.46,24.35,0:02:28,148,15.49,0:03:52,232,0,85,12
"2013-09-30 17:22:38",0:01:53,112.7,0:00:21,21.2,41.6614798,-91.5403366,646,0.49,20.99,0:02:51,171,15.69,0:03:49,229,0,89,13
"2013-09-30 17:22:44",0:01:59,118.7,0:00:21,21.2,41.6614191,-91.5409455,642,0.52,19.15,0:03:08,188,15.86,0:03:47,227,0,109,13
"2013-09-30 17:22:51",0:02:06,125.7,0:00:21,21.2,41.6613846,-91.5416296,638,0.56,18.10,0:03:19,199,15.99,0:03:45,225,0,121,14
"2013-09-30 17:22:59",0:02:08,127.7,0:00:27,27.2,41.6613735,-91.5419702,636,0.58,9.97,0:06:01,361,16.24,0:03:42,222,0,121,14
"2013-09-30 17:23:08",0:02:08,127.7,0:00:36,36.2,41.6613327,-91.5419903,636,0.58,2.23,0:26:54,1614,16.32,0:03:41,221,0,121,14
"2013-09-30 17:23:14",0:02:08,127.7,0:00:42,42.2,41.6613381,-91.5419487,636,0.58,1.25,0:48:11,2891,16.38,0:03:40,220,0,121,14
"2013-09-30 17:23:42",0:02:08,127.7,0:01:10,70.2,41.6613561,-91.5419984,636,0.58,1.07,0:55:50,3350,16.46,0:03:39,219,0,121,14
"2013-09-30 17:24:04",0:02:08,127.7,0:01:32,92.2,41.6613883,-91.5419408,636,0.59,1.51,0:39:41,2381,16.57,0:03:37,217,0,121,14
"2013-09-30 17:24:22",0:02:09,128.7,0:01:49,109.2,41.6614681,-91.5423299,639,0.61,6.69,0:08:58,538,17.02,0:03:31,211,0,121,14
"2013-09-30 17:24:28",0:02:15,134.7,0:01:49,109.2,41.6614665,-91.5429607,650,0.64,15.43,0:03:53,233,17.14,0:03:30,210,0,121,16
"2013-09-30 17:24:31",0:02:18,137.7,0:01:49,109.2,41.6614974,-91.5431567,652,0.65,17.07,0:03:31,211,17.03,0:03:31,211,0,121,17
"2013-09-30 17:24:32",0:02:19,138.7,0:01:49,109.2,41.6615339,-91.5431448,653,0.65,16.51,0:03:38,218,16.98,0:03:32,212,0,121,18
"2013-09-30 17:24:33",0:02:20,139.7,0:01:49,109.2,41.6615619,-91.5431700,654,0.66,15.85,0:03:47,227,16.92,0:03:33,213,0,121,18
"2013-09-30 17:24:34",0:02:21,140.7,0:01:49,109.2,41.6615801,-91.5432474,654,0.66,13.76,0:04:22,262,16.90,0:03:33,213,0,121,19
"2013-09-30 17:24:45",0:02:32,151.7,0:01:49,109.2,41.6619200,-91.5436947,652,0.69,10.91,0:05:30,330,16.46,0:03:39,219,0,121,21
"2013-09-30 17:24:47",0:02:34,153.8,0:01:49,109.2,41.6620078,-91.5437362,648,0.70,11.31,0:05:18,318,16.39,0:03:40,220,0,121,21
"2013-09-30 17:24:57",0:02:44,163.8,0:01:49,109.2,41.6624490,-91.5435488,661,0.73,11.52,0:05:13,313,16.09,0:03:44,224,0,121,24
"2013-09-30 17:25:01",0:02:48,167.7,0:01:49,109.2,41.6626274,-91.5434638,663,0.75,11.69,0:05:08,308,15.99,0:03:45,225,0,121,26
"2013-09-30 17:25:07",0:02:54,173.7,0:01:49,109.2,41.6629690,-91.5434415,664,0.77,13.13,0:04:34,274,15.93,0:03:46,226,0,121,27
"2013-09-30 17:25:08",0:02:55,174.8,0:01:49,109.2,41.6630366,-91.5434593,665,0.77,13.65,0:04:24,264,15.93,0:03:46,226,0,121,27
"2013-09-30 17:25:11",0:02:58,177.7,0:01:49,109.2,41.6632094,-91.5435892,666,0.79,15.31,0:03:55,235,15.95,0:03:46,226,0,121,28
"2013-09-30 17:25:12",0:02:59,178.7,0:01:49,109.2,41.6631708,-91.5436822,667,0.79,15.71,0:03:49,229,15.97,0:03:45,225,0,121,29
"2013-09-30 17:25:16",0:03:03,182.7,0:01:49,109.2,41.6633006,-91.5439789,669,0.81,16.70,0:03:36,216,15.97,0:03:45,225,0,121,30
"2013-09-30 17:25:25",0:03:12,191.7,0:01:49,109.2,41.6633354,-91.5445994,672,0.84,16.28,0:03:41,221,15.82,0:03:48,228,26,121,33
"2013-09-30 17:25:29",0:03:16,195.8,0:01:49,109.2,41.6633497,-91.5449395,672,0.86,13.79,0:04:21,261,15.82,0:03:48,228,33,121,34
"2013-09-30 17:25:30",0:03:17,196.8,0:01:49,109.2,41.6634753,-91.5450354,672,0.87,15.55,0:03:51,231,15.92,0:03:46,226,33,121,34
"2013-09-30 17:25:31",0:03:18,197.7,0:01:49,109.2,41.6635119,-91.5451278,671,0.88,16.09,0:03:44,224,15.95,0:03:46,226,33,121,34
"2013-09-30 17:25:32",0:03:19,198.8,0:01:49,109.2,41.6635074,-91.5452248,671,0.88,16.89,0:03:33,213,15.94,0:03:46,226,33,121,34
"2013-09-30 17:25:33",0:03:20,199.7,0:01:49,109.2,41.6635624,-91.5453095,671,0.89,18.01,0:03:20,200,15.98,0:03:45,225,33,121,35
"2013-09-30 17:25:34",0:03:21,200.7,0:01:49,109.2,41.6635861,-91.5453981,670,0.89,18.79,0:03:12,192,15.99,0:03:45,225,33,121,35
"2013-09-30 17:25:41",0:03:28,207.7,0:01:49,109.2,41.6634901,-91.5460666,674,0.93,18.29,0:03:17,197,16.06,0:03:44,224,33,121,37
"2013-09-30 17:25:43",0:03:30,209.7,0:01:49,109.2,41.6634749,-91.5462655,678,0.94,18.18,0:03:18,198,16.08,0:03:44,224,33,121,38
"2013-09-30 17:25:45",0:03:32,211.7,0:01:49,109.2,41.6634209,-91.5465108,678,0.95,19.92,0:03:01,181,16.15,0:03:43,223,33,121,39
"2013-09-30 17:25:46",0:03:33,212.7,0:01:49,109.2,41.6633690,-91.5466389,678,0.96,20.73,0:02:54,174,16.21,0:03:42,222,33,121,39
"2013-09-30 17:25:48",0:03:35,214.7,0:01:49,109.2,41.6633146,-91.5469069,677,0.97,22.03,0:02:43,163,16.30,0:03:41,221,33,121,40
"2013-09-30 17:25:49",0:03:36,215.7,0:01:49,109.2,41.6633120,-91.5470420,676,0.98,22.61,0:02:39,159,16.34,0:03:40,220,33,121,40
"2013-09-30 17:25:52",0:03:39,218.7,0:01:49,109.2,41.6631936,-91.5473432,674,1.00,23.05,0:02:36,156,16.40,0:03:39,219,33,121,42
"2013-09-30 17:25:59",0:03:46,225.7,0:01:49,109.2,41.6630417,-91.5480006,675,1.03,19.89,0:03:01,181,16.46,0:03:39,219,33,121,44
"2013-09-30 17:26:01",0:03:48,227.7,0:01:49,109.2,41.6629921,-91.5481839,676,1.04,18.82,0:03:11,191,16.48,0:03:38,218,33,121,45
"2013-09-30 17:26:02",0:03:49,228.7,0:01:49,109.2,41.6629911,-91.5482689,677,1.05,18.65,0:03:13,193,16.48,0:03:38,218,33,121,45
"2013-09-30 17:26:06",0:03:53,232.7,0:01:49,109.2,41.6628311,-91.5486161,679,1.07,18.72,0:03:12,192,16.52,0:03:38,218,33,121,47
"2013-09-30 17:26:07",0:03:54,233.8,0:01:49,109.2,41.6628452,-91.5486913,679,1.07,17.69,0:03:23,203,16.51,0:03:38,218,33,121,47
"2013-09-30 17:26:10",0:03:57,236.7,0:01:49,109.2,41.6627187,-91.5489983,680,1.09,18.85,0:03:11,191,16.58,0:03:37,217,33,121,48
"2013-09-30 17:26:13",0:04:00,239.7,0:01:49,109.2,41.6627726,-91.5492939,681,1.11,19.39,0:03:06,186,16.61,0:03:37,217,33,121,50
"2013-09-30 17:26:17",0:04:04,243.7,0:01:49,109.2,41.6629247,-91.5495795,682,1.12,18.42,0:03:15,195,16.60,0:03:37,217,33,121,51
"2013-09-30 17:26:25",0:04:12,251.8,0:01:49,109.2,41.6632848,-91.5499636,682,1.16,14.33,0:04:11,251,16.52,0:03:38,218,33,121,53
"2013-09-30 17:26:32",0:04:19,258.7,0:01:49,109.2,41.6634864,-91.5503357,681,1.18,12.67,0:04:44,284,16.41,0:03:39,219,33,121,54
"2013-09-30 17:26:40",0:04:27,266.7,0:01:49,109.2,41.6635934,-91.5507996,681,1.20,11.22,0:05:21,321,16.26,0:03:41,221,33,121,56
"2013-09-30 17:26:49",0:04:36,275.7,0:01:49,109.2,41.6637217,-91.5514192,680,1.24,13.05,0:04:36,276,16.16,0:03:43,223,33,121,57
"2013-09-30 17:26:53",0:04:40,279.7,0:01:49,109.2,41.6637901,-91.5517642,680,1.26,14.66,0:04:06,246,16.17,0:03:43,223,33,121,58
"2013-09-30 17:26:54",0:04:41,280.7,0:01:49,109.2,41.6636494,-91.5518918,680,1.27,17.25,0:03:29,209,16.26,0:03:41,221,33,121,59
"2013-09-30 17:27:02",0:04:49,288.7,0:01:49,109.2,41.6637875,-91.5526032,679,1.31,16.22,0:03:42,222,16.28,0:03:41,221,33,121,59
"2013-09-30 17:27:03",0:04:50,289.7,0:01:49,109.2,41.6639317,-91.5526398,679,1.32,19.96,0:03:00,180,16.35,0:03:40,220,33,121,59
"2013-09-30 17:27:09",0:04:56,295.7,0:01:49,109.2,41.6640704,-91.5531028,679,1.34,17.11,0:03:30,210,16.34,0:03:40,220,33,121,61
"2013-09-30 17:27:10",0:04:57,296.7,0:01:49,109.2,41.6639599,-91.5532526,679,1.35,20.61,0:02:55,175,16.41,0:03:39,219,33,121,62
"2013-09-30 17:27:12",0:04:59,298.7,0:01:49,109.2,41.6640101,-91.5533870,679,1.36,21.40,0:02:48,168,16.40,0:03:40,220,33,121,62
"2013-09-30 17:27:18",0:05:05,304.7,0:01:49,109.2,41.6643084,-91.5538658,678,1.39,19.86,0:03:01,181,16.46,0:03:39,219,33,121,63
"2013-09-30 17:27:24",0:05:11,310.7,0:01:49,109.2,41.6646254,-91.5543422,677,1.43,17.53,0:03:25,205,16.52,0:03:38,218,33,121,63
"2013-09-30 17:27:32",0:05:19,318.7,0:01:49,109.2,41.6649729,-91.5548429,676,1.46,18.57,0:03:14,194,16.50,0:03:38,218,33,121,64
"2013-09-30 17:27:38",0:05:25,324.7,0:01:49,109.2,41.6652405,-91.5554126,676,1.50,22.58,0:02:39,159,16.59,0:03:37,217,33,121,64
"2013-09-30 17:27:40",0:05:27,326.7,0:01:49,109.2,41.6653071,-91.5555758,675,1.51,21.71,0:02:46,166,16.59,0:03:37,217,33,121,64
"2013-09-30 17:27:42",0:05:29,328.7,0:01:49,109.2,41.6651776,-91.5562525,675,1.54,19.80,0:03:02,182,16.88,0:03:33,213,33,121,64
"2013-09-30 17:27:44",0:05:31,330.9,0:01:49,109.2,41.6652451,-91.5565297,675,1.56,19.80,0:03:02,182,16.94,0:03:33,213,33,121,64
"2013-09-30 17:27:45",0:05:32,331.7,0:01:49,109.2,41.6652498,-91.5566962,675,1.57,19.80,0:03:02,182,16.99,0:03:32,212,33,121,64
"2013-09-30 17:27:46",0:05:33,332.7,0:01:49,109.2,41.6656698,-91.5566996,675,1.59,29.76,0:02:01,121,17.25,0:03:29,209,33,121,65
"2013-09-30 17:27:52",0:05:39,338.7,0:01:49,109.2,41.6658108,-91.5573468,674,1.63,32.05,0:01:52,112,17.32,0:03:28,208,33,121,65
"2013-09-30 17:28:00",0:05:47,346.7,0:01:49,109.2,41.6659579,-91.5579203,673,1.66,13.63,0:04:24,264,17.24,0:03:29,209,33,121,65
"2013-09-30 17:28:03",0:05:50,349.7,0:01:49,109.2,41.6659827,-91.5579927,673,1.66,10.68,0:05:37,337,17.13,0:03:30,210,33,121,66
"2013-09-30 17:28:04",0:05:51,350.8,0:01:49,109.2,41.6659445,-91.5580403,670,1.67,10.69,0:05:37,337,17.12,0:03:30,210,33,121,66
"2013-09-30 17:28:13",0:06:00,359.8,0:01:49,109.2,41.6661441,-91.5586040,652,1.70,12.80,0:04:41,281,17.01,0:03:32,212,33,121,66
"2013-09-30 17:28:23",0:06:10,369.7,0:01:49,109.2,41.6663493,-91.5591614,651,1.73,11.73,0:05:07,307,16.87,0:03:33,213,33,121,68
"2013-09-30 17:28:32",0:06:19,378.7,0:01:49,109.2,41.6665711,-91.5597428,643,1.77,13.80,0:04:21,261,16.79,0:03:34,214,33,121,69
"2013-09-30 17:28:41",0:06:28,387.7,0:01:49,109.2,41.6667785,-91.5602853,641,1.80,12.57,0:04:46,286,16.69,0:03:36,216,33,128,70
"2013-09-30 17:28:48",0:06:35,394.7,0:01:49,109.2,41.6669889,-91.5609494,636,1.84,16.54,0:03:38,218,16.74,0:03:35,215,33,147,71
"2013-09-30 17:28:50",0:06:37,396.7,0:01:49,109.2,41.6670371,-91.5611590,635,1.85,18.74,0:03:12,192,16.76,0:03:35,215,33,152,71
"2013-09-30 17:28:56",0:06:43,402.8,0:01:49,109.2,41.6673055,-91.5616942,637,1.88,20.53,0:02:55,175,16.80,0:03:34,214,33,161,73
"2013-09-30 17:29:02",0:06:49,408.8,0:01:49,109.2,41.6675279,-91.5621019,644,1.91,16.86,0:03:33,213,16.79,0:03:34,214,33,161,76
"2013-09-30 17:29:08",0:06:55,414.7,0:01:49,109.2,41.6677559,-91.5627077,644,1.94,18.33,0:03:16,196,16.85,0:03:34,214,33,161,78
"2013-09-30 17:29:11",0:06:58,417.7,0:01:49,109.2,41.6678545,-91.5630151,643,1.96,19.67,0:03:03,183,16.88,0:03:33,213,33,161,79
"2013-09-30 17:29:14",0:07:01,420.7,0:01:49,109.2,41.6679787,-91.5632258,644,1.97,19.67,0:03:03,183,16.88,0:03:33,213,33,161,80
"2013-09-30 17:29:21",0:07:08,427.7,0:01:49,109.2,41.6682125,-91.5637688,646,2.00,17.36,0:03:27,207,16.87,0:03:33,213,33,161,82
"2013-09-30 17:29:26",0:07:13,432.7,0:01:49,109.2,41.6684105,-91.5641034,648,2.03,16.24,0:03:42,222,16.86,0:03:33,213,33,161,84
"2013-09-30 17:29:32",0:07:19,438.7,0:01:49,109.2,41.6686235,-91.5646266,650,2.06,17.49,0:03:26,206,16.88,0:03:33,213,33,161,86
"2013-09-30 17:29:39",0:07:26,445.7,0:01:49,109.2,41.6688816,-91.5652153,652,2.09,18.23,0:03:18,198,16.90,0:03:33,213,33,161,88
"2013-09-30 17:29:46",0:07:33,452.8,0:01:49,109.2,41.6689777,-91.5655966,646,2.11,13.29,0:04:31,271,16.80,0:03:34,214,33,161,88
"2013-09-30 17:29:47",0:07:34,453.7,0:01:49,109.2,41.6689572,-91.5655948,645,2.12,12.71,0:04:43,283,16.78,0:03:35,215,33,161,88
"2013-09-30 17:29:52",0:07:39,458.7,0:01:49,109.2,41.6689559,-91.5656529,641,2.12,5.03,0:11:56,716,16.62,0:03:37,217,33,161,89
"2013-09-30 17:30:00",0:07:47,466.7,0:01:49,109.2,41.6691335,-91.5655298,639,2.13,6.12,0:09:48,588,16.44,0:03:39,219,33,161,89
