Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-09-03 16:42:13",0:00:01,0.8,0:00:00,0.0,41.6623876,-91.5356115,705,0.00,9.78,0:06:08,368,0.00,0:00:00,0,0,0,0
"2013-09-03 16:42:16",0:00:03,3.4,0:00:00,0.0,41.6624474,-91.5355907,705,0.00,9.78,0:06:08,368,4.46,0:13:27,807,0,0,0
"2013-09-03 16:42:16",0:00:04,4.0,0:00:00,0.0,41.6625774,-91.5355326,705,0.01,9.78,0:06:08,368,12.40,0:04:50,290,0,1,0
"2013-09-03 16:42:17",0:00:05,4.7,0:00:00,0.0,41.6625400,-91.5355243,705,0.02,9.78,0:06:08,368,12.63,0:04:45,285,0,1,0
"2013-09-03 16:42:19",0:00:07,6.7,0:00:00,0.0,41.6625843,-91.5355506,704,0.02,9.78,0:06:08,368,10.57,0:05:40,340,0,1,0
"2013-09-03 16:42:21",0:00:09,8.8,0:00:00,0.0,41.6625489,-91.5355262,704,0.02,9.78,0:06:08,368,9.14,0:06:34,394,0,1,1
"2013-09-03 16:42:22",0:00:10,9.6,0:00:00,0.0,41.6624778,-91.5355944,704,0.03,9.78,0:06:08,368,10.65,0:05:38,338,0,1,1
"2013-09-03 16:42:26",0:00:14,13.6,0:00:00,0.0,41.6624935,-91.5357922,703,0.04,9.78,0:06:08,368,10.24,0:05:52,352,0,2,1
"2013-09-03 16:42:27",0:00:15,14.7,0:00:00,0.0,41.6626208,-91.5355288,703,0.05,9.78,0:06:08,368,13.47,0:04:27,267,0,2,1
"2013-09-03 16:42:29",0:00:17,16.7,0:00:00,0.0,41.6626187,-91.5364023,703,0.10,14.89,0:04:02,242,21.63,0:02:46,166,0,4,2
"2013-09-03 16:42:32",0:00:20,19.6,0:00:00,0.0,41.6628475,-91.5363741,702,0.12,23.42,0:02:34,154,21.33,0:02:49,169,0,5,3
"2013-09-03 16:42:35",0:00:23,22.8,0:00:00,0.0,41.6627157,-91.5360910,701,0.13,21.70,0:02:46,166,21.01,0:02:51,171,0,6,4
"2013-09-03 16:42:37",0:00:25,24.8,0:00:00,0.0,41.6629928,-91.5358740,701,0.16,29.04,0:02:04,124,22.59,0:02:39,159,0,7,5
"2013-09-03 16:42:38",0:00:26,25.6,0:00:00,0.0,41.6629159,-91.5361285,701,0.17,29.04,0:02:04,124,23.86,0:02:31,151,0,7,5
"2013-09-03 16:42:39",0:00:27,26.6,0:00:00,0.0,41.6629884,-91.5360375,701,0.18,27.50,0:02:11,131,23.91,0:02:31,151,0,8,5
"2013-09-03 16:42:49",0:00:37,36.6,0:00:00,0.0,41.6630981,-91.5360667,699,0.18,2.77,0:21:40,1300,18.12,0:03:19,199,0,8,6
"2013-09-03 16:42:50",0:00:38,37.8,0:00:00,0.0,41.6630835,-91.5361833,699,0.19,4.44,0:13:32,812,18.13,0:03:19,199,0,8,6
"2013-09-03 16:43:01",0:00:49,48.6,0:00:00,0.0,41.6635600,-91.5364347,697,0.23,11.81,0:05:05,305,16.72,0:03:35,215,0,10,8
"2013-09-03 16:43:02",0:00:50,49.6,0:00:00,0.0,41.6636210,-91.5364408,697,0.23,12.08,0:04:58,298,16.69,0:03:36,216,0,10,8
"2013-09-03 16:43:03",0:00:51,50.6,0:00:00,0.0,41.6640406,-91.5359486,697,0.27,12.08,0:04:58,298,19.11,0:03:08,188,0,12,8
"2013-09-03 16:43:10",0:00:58,57.6,0:00:00,0.0,41.6639811,-91.5357570,695,0.28,15.08,0:03:59,239,17.46,0:03:26,206,0,12,10
"2013-09-03 16:43:12",0:01:00,59.6,0:00:00,0.0,41.6639486,-91.5362143,695,0.30,15.08,0:03:59,239,18.32,0:03:17,197,0,13,11
"2013-09-03 16:43:13",0:01:01,60.6,0:00:00,0.0,41.6637980,-91.5368259,695,0.34,15.08,0:03:59,239,19.98,0:03:00,180,0,15,11
"2013-09-03 16:43:22",0:01:10,69.7,0:00:00,0.0,41.6624207,-91.5379239,693,0.45,46.20,0:01:18,78,23.09,0:02:36,156,0,20,14
"2013-09-03 16:43:23",0:01:11,70.6,0:00:00,0.0,41.6627171,-91.5378849,693,0.47,46.20,0:01:18,78,23.83,0:02:31,151,0,20,15
