Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-08-22 17:57:50",0:00:01,0.9,0:00:00,0.0,41.6626762,-91.5351260,709,0.00,6.62,0:09:04,544,0.00,0:00:00,0,0,0,0
"2013-08-22 17:57:59",0:00:11,10.5,0:00:00,0.0,41.6627033,-91.5352315,711,0.01,6.62,0:09:04,544,1.98,0:30:21,1821,0,0,0
"2013-08-22 17:58:02",0:00:14,13.5,0:00:00,0.0,41.6626551,-91.5354663,711,0.02,6.62,0:09:04,544,4.89,0:12:16,736,0,0,1
"2013-08-22 17:58:14",0:00:26,25.5,0:00:00,0.0,41.6626925,-91.5360934,714,0.05,10.03,0:05:59,359,7.19,0:08:21,501,0,0,2
"2013-08-22 17:58:17",0:00:29,28.5,0:00:00,0.0,41.6627604,-91.5361434,715,0.06,9.22,0:06:30,390,7.11,0:08:27,507,0,0,3
"2013-08-22 17:58:26",0:00:38,37.5,0:00:00,0.0,41.6632190,-91.5359794,717,0.09,12.57,0:04:46,286,8.54,0:07:01,421,0,0,5
"2013-08-22 17:58:39",0:00:51,50.5,0:00:00,0.0,41.6635329,-91.5360498,727,0.11,5.67,0:10:35,635,7.91,0:07:35,455,0,0,8
"2013-08-22 17:58:46",0:00:58,57.6,0:00:00,0.0,41.6635088,-91.5367486,722,0.15,13.98,0:04:18,258,9.20,0:06:31,391,0,0,10
"2013-08-22 17:58:47",0:00:59,58.5,0:00:00,0.0,41.6636329,-91.5368423,720,0.16,15.95,0:03:46,226,9.66,0:06:13,373,0,0,10
"2013-08-22 17:58:54",0:01:05,64.7,0:00:00,0.0,41.6636363,-91.5374675,712,0.19,20.85,0:02:53,173,10.54,0:05:41,341,0,0,10
"2013-08-22 17:58:55",0:01:06,65.7,0:00:00,0.0,41.6636369,-91.5375802,712,0.20,19.28,0:03:07,187,10.70,0:05:37,337,0,0,10
"2013-08-22 17:59:00",0:01:12,71.5,0:00:00,0.0,41.6631532,-91.5376036,712,0.23,19.63,0:03:03,183,11.51,0:05:13,313,0,0,11
"2013-08-22 17:59:08",0:01:20,79.5,0:00:00,0.0,41.6626823,-91.5376249,707,0.26,19.74,0:03:02,182,11.82,0:05:04,304,0,0,11
"2013-08-22 17:59:13",0:01:25,84.5,0:00:00,0.0,41.6625127,-91.5376326,704,0.27,10.42,0:05:45,345,11.62,0:05:10,310,0,0,12
"2013-08-22 17:59:17",0:01:28,87.7,0:00:00,0.0,41.6623427,-91.5377692,701,0.29,10.93,0:05:29,329,11.77,0:05:06,306,0,0,12
"2013-08-22 17:59:19",0:01:31,90.6,0:00:00,0.0,41.6621285,-91.5378043,699,0.30,13.17,0:04:33,273,11.98,0:05:00,300,0,0,12
"2013-08-22 17:59:21",0:01:33,92.5,0:00:00,0.0,41.6619860,-91.5377709,698,0.31,14.92,0:04:01,241,12.12,0:04:57,297,0,0,12
"2013-08-22 17:59:22",0:01:34,93.5,0:00:00,0.0,41.6619218,-91.5376558,697,0.32,17.21,0:03:29,209,12.27,0:04:53,293,0,0,12
"2013-08-22 17:59:24",0:01:36,95.5,0:00:00,0.0,41.6618249,-91.5376596,695,0.33,17.25,0:03:29,209,12.27,0:04:53,293,0,0,12
"2013-08-22 17:59:27",0:01:39,98.5,0:00:00,0.0,41.6618222,-91.5378755,693,0.34,16.92,0:03:33,213,12.30,0:04:53,293,0,0,13
"2013-08-22 17:59:28",0:01:40,99.6,0:00:00,0.0,41.6617127,-91.5378162,692,0.34,18.10,0:03:19,199,12.47,0:04:49,289,0,0,13
"2013-08-22 17:59:32",0:01:44,103.5,0:00:00,0.0,41.6614612,-91.5378269,684,0.36,17.01,0:03:32,212,12.60,0:04:46,286,0,0,13
"2013-08-22 17:59:33",0:01:45,104.6,0:00:00,0.0,41.6614535,-91.5376741,681,0.37,17.34,0:03:28,208,12.74,0:04:43,283,0,0,13
"2013-08-22 17:59:34",0:01:46,105.6,0:00:00,0.0,41.6613730,-91.5376709,679,0.38,18.41,0:03:16,196,12.82,0:04:41,281,0,0,13
"2013-08-22 17:59:35",0:01:47,106.6,0:00:00,0.0,41.6612873,-91.5379196,675,0.39,18.41,0:03:16,196,13.17,0:04:33,273,0,17,13
"2013-08-22 17:59:41",0:01:53,112.5,0:00:00,0.0,41.6612828,-91.5385802,657,0.42,22.94,0:02:37,157,13.57,0:04:25,265,0,52,13
"2013-08-22 17:59:42",0:01:54,113.5,0:00:00,0.0,41.6613481,-91.5386795,658,0.43,24.52,0:02:27,147,13.67,0:04:23,263,0,52,14
"2013-08-22 17:59:47",0:01:59,118.5,0:00:00,0.0,41.6613918,-91.5392587,663,0.46,20.59,0:02:55,175,14.00,0:04:17,257,0,52,14
"2013-08-22 17:59:48",0:01:59,119.5,0:00:00,0.0,41.6613714,-91.5393775,664,0.47,21.21,0:02:50,170,14.08,0:04:16,256,0,52,14
"2013-08-22 17:59:49",0:02:01,120.5,0:00:00,0.0,41.6612769,-91.5394787,665,0.48,22.13,0:02:43,163,14.21,0:04:13,253,0,52,15
"2013-08-22 17:59:55",0:02:07,126.6,0:00:00,0.0,41.6612741,-91.5401688,655,0.51,22.73,0:02:38,158,14.55,0:04:07,247,0,52,17
"2013-08-22 18:00:02",0:02:13,132.7,0:00:00,0.0,41.6612714,-91.5407390,666,0.54,18.58,0:03:14,194,14.68,0:04:05,245,0,52,19
"2013-08-22 18:00:02",0:02:14,133.5,0:00:00,0.0,41.6613605,-91.5408407,666,0.55,19.86,0:03:01,181,14.80,0:04:03,243,0,52,19
"2013-08-22 18:00:09",0:02:21,140.6,0:00:00,0.0,41.6613150,-91.5414529,666,0.58,18.45,0:03:15,195,14.87,0:04:02,242,0,52,22
