Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-10-08 07:16:55",0:00:01,0.9,0:00:00,0.0,41.7039874,-91.6099311,797,0.00,4.22,0:14:13,853,0.00,0:00:00,0,0,0,0
"2013-10-08 07:16:56",0:00:02,1.9,0:00:00,0.0,41.7039845,-91.6099088,797,0.00,4.22,0:14:13,853,2.23,0:26:52,1612,0,0,0
"2013-10-08 07:16:59",0:00:05,4.6,0:00:00,0.0,41.7039647,-91.6098810,795,0.00,4.22,0:14:13,853,2.47,0:24:19,1459,0,0,0
"2013-10-08 07:17:10",0:00:16,15.6,0:00:00,0.0,41.7040545,-91.6100852,788,0.02,4.22,0:14:13,853,3.56,0:16:51,1011,0,0,0
"2013-10-08 07:17:23",0:00:29,28.6,0:00:00,0.0,41.7045137,-91.6100562,810,0.05,9.10,0:06:36,396,5.94,0:10:06,606,0,0,3
"2013-10-08 07:17:34",0:00:40,39.6,0:00:00,0.0,41.7049958,-91.6100482,823,0.08,10.96,0:05:28,328,7.32,0:08:12,492,18,0,7
"2013-10-08 07:17:41",0:00:47,46.6,0:00:00,0.0,41.7054137,-91.6101382,828,0.11,13.89,0:04:19,259,8.47,0:07:05,425,33,0,10
"2013-10-08 07:17:42",0:00:48,47.8,0:00:00,0.0,41.7054665,-91.6100751,828,0.11,14.26,0:04:13,253,8.63,0:06:57,417,33,0,11
"2013-10-08 07:17:44",0:00:50,49.6,0:00:00,0.0,41.7055695,-91.6100603,827,0.12,14.75,0:04:04,244,8.82,0:06:48,408,33,0,11
"2013-10-08 07:17:52",0:00:58,57.6,0:00:00,0.0,41.7060729,-91.6100922,833,0.16,15.48,0:03:53,233,9.79,0:06:08,368,33,0,14
"2013-10-08 07:18:00",0:01:06,65.6,0:00:00,0.0,41.7065494,-91.6100797,843,0.19,14.82,0:04:03,243,10.40,0:05:46,346,33,0,18
